2	-0.08333	266.9952	15.6
938	0.075	225.19	4.3
23	0.183333	144.5238	36.6
2	0.216667	230.62	48
939	0.236585	173.5	15.4
68	0.321739	241.8667	5.7
46	0.325	261.1381	5.9
939	0.381818	184.3652	6.3
10	0.478261	242.8286	3.7
10	0.486957	250.181	11.5
8	0.5	144.6667	10.5
225	0.547826	250.181	3.6
10	0.563636	183.2261	6.4
99	0.568293	174.9545	7.2
10	0.695652	242.981	3
264	0.725	144.7714	3.6
99	0.727273	181.6609	15.1
25	0.75	159.6762	3.4
53	0.75	205.5826	7.5
19	0.921739	250.9143	12.9
8	1.034783	253.2095	5.1
10	1.066667	227.2	3.9
131	1.2	209.7043	38.5
108	1.278261	240.5524	51.5
36	1.319512	173.1727	12
9	1.325	206.6783	30.5
6	1.325	260.7286	3.4
938	1.408333	228.18	3.7
110	1.458333	148.7048	4.5
225	1.475	156.2095	5.2
21	1.530435	253.4286	32.5
22	1.55	145.4857	10.8
46	1.565217	259.4	4.8
75	1.618182	188.2522	6
225	1.791667	225.42	3.3
142	1.808333	229.25	16.2
7	2	282.96	10.2
42	2.091667	153.8095	3.3
68	2.133333	211.6348	19.6
45	2.15	234.58	4
749	2.165217	297.11	3.1
10	2.175	205.5217	6.7
938	2.225	203.2783	3.1
21	2.243478	249.7905	3.7
46	2.266667	260.3571	7.4
10	2.269565	242.3524	4.4
53	2.316667	207.7739	6.4
21	2.321739	299.87	5.5
42	2.347826	282.43	18.5
22	2.382609	293.54	36.8
142	2.554545	192.7043	3.7
10	2.583333	239.63	3.2
33	2.591667	271.2714	5.8
264	2.616667	210.1217	4
142	2.625	140.5619	3.1
264	2.641667	214.5739	5
46	2.641667	236.15	8.1
938	2.66087	286.75	8.5
110	2.666667	203.1652	3.7
239	2.691667	147.4286	14.8
19	2.695652	290.9	13
71	2.734146	172.0364	8.8
202	2.8	238.61	4.8
939	2.809091	184.0957	14.3
75	2.833333	211.8261	7.2
938	2.866667	230.02	4.1
938	2.9	231.33	6.4
90	2.968293	166.7364	13
939	2.981818	186.8522	8.9
225	3.041667	158.4952	4.6
18	3.12439	175.5091	8.7
9	3.133333	209.3304	25.6
225	3.158333	152.0571	4
79	3.172727	188.2522	21.8
7	3.202439	174.4	16.5
938	3.234783	290.29	3.4
161	3.266667	207.1826	3.4
90	3.291667	150.1524	11.4
21	3.316667	260.9476	3.7
68	3.375	230.41	4
41	3.466667	209.7826	31.3
75	3.475	211.4609	4.7
23	3.483333	222.01	59.7
19	3.591667	157.5714	18.6
15	3.721739	255.7238	4.2
79	3.75	222.42	26.5
22	3.826087	297.85	23.7
19	3.878261	296.17	6.5
938	3.883333	218.8261	4.3
10	4.016667	275.1667	6.8
264	4.016667	276.1286	6
68	4.033333	270.7381	18.2
75	4.075	213.8435	13.1
23	4.086957	287.15	12.5
23	4.166667	226.01	26.4
71	4.217073	173.3	4.8
10	4.252174	292.01	3.6
10	4.269565	280.01	6.6
46	4.321739	256.4857	5.6
19	4.333333	236.69	17.3
68	4.341667	201.9913	9.6
23	4.441667	279.4429	22.1
225	4.45	157.0476	3
216	4.573913	253.6381	6.8
68	4.775	230.99	3.7
23	4.775	275.3476	28.5
7	4.858333	222.6	8.4
8	4.9	164.9727	4
23	4.927273	198.2174	18.7
33	4.966667	278.719	33.3
325	4.983333	277.3952	31.2
42	5	146.1714	7.4
42	5.036585	170.6727	3.1
110	5.066667	206.8522	8
6	5.095652	242.2667	3.1
8	5.136364	198.1826	5
23	5.173913	288.39	33.1
233	5.183333	153.6381	16.2
68	5.275	259.8619	7.3
76	5.275	276.0238	10.3
6	5.33913	242.6	3.1
4	5.347826	298.07	3.6
23	5.358333	231.99	21
23	5.408333	230.51	5.6
90	5.417391	288.3	13.5
6	5.441667	267.5476	12.3
46	5.5	259.8714	5.7
142	5.7	206.4783	3.5
165	5.739024	167.1091	13.7
10	5.833333	279.2238	6.8
46	6.121739	255.7048	5.4
938	6.141667	234.12	5.5
225	6.156522	296.15	3
938	6.181818	194.2261	3.1
264	6.183333	219.88	4.1
4	6.190909	195.3478	4.5
939	6.285366	170.5909	14.7
21	6.291667	261.4333	26.5
233	6.373913	295.01	6.9
46	6.391667	225.89	5.3
79	6.45	203.1826	3.3
33	6.46087	298.62	4.7
165	6.563636	193.1304	12.7
191	6.6	225.81	5.8
46	6.617391	245.8095	7.3
108	6.725	235.11	39.3
191	6.741667	271.6238	4.4
10	6.756522	245.219	3.9
45	6.756522	292.99	3
4	6.791667	158.2952	3.6
6	6.791667	232.91	5
79	6.817391	293.37	5.3
22	6.895652	293.61	18.8
8	6.9	172.5818	4.6
211	6.95	278.481	3.4
264	6.997561	177.2727	3.3
939	7.018182	187.1217	12.5
90	7.054545	197.8174	6.6
4	7.06087	284.33	3.4
10	7.07561	164.2727	3.4
41	7.078261	257.1524	16.3
10	7.091667	208.8087	6.5
749	7.243478	295.37	7.7
938	7.266667	221.27	4.5
76	7.266667	158.2381	3.6
23	7.269565	281.74	16.9
225	7.275	156.6857	4.6
68	7.278261	252.6762	7.1
110	7.291667	202.2	5.5
142	7.391667	214.4609	7.7
173	7.417073	161.1091	29.1
195	7.514634	172.9727	8.5
233	7.521739	255.7333	4.1
68	7.6	203.6783	17.9
23	7.65	277.1	26.3
10	7.660976	165.4182	3.5
22	7.686957	299.21	19.4
90	7.7	162.7545	12.8
10	7.747826	242.6381	4.8
19	7.856098	161.2818	28.7
239	7.872727	197.7913	16.5
23	7.941667	270.6048	5.2
36	8	228.27	3.3
142	8.043478	254.019	3.1
938	8.066667	211.0609	5
8	8.1	177.2545	5.2
23	8.109091	193.1913	10.5
7	8.156522	294.43	8
191	8.158333	210.1217	7.3
939	8.178049	161.7364	12.3
939	8.197561	164.8364	11.4
216	8.2	269.6524	5.7
22	8.313043	290.94	19.3
68	8.409091	193.9913	6.4
23	8.472727	193.6696	13.1
19	8.516667	142.019	19
192	8.518182	191.1826	18.4
68	8.565217	281.63	8.9
21	8.65	269.8619	30.2
23	8.730435	240.6762	34.3
75	8.736364	186.8261	13.5
23	8.825	202.1652	83
68	8.833333	273.4524	5.9
19	8.870732	175.8636	19.9
23	8.916667	154.1333	11.5
225	8.916667	154.419	3.3
10	8.982609	252.3048	4.1
225	9.114634	175.1727	5.2
8	9.133333	211.087	6.5
23	9.15	276.1762	27.6
225	9.2	214.5826	3.2
23	9.25	279.6333	7
36	9.258333	141.1429	3.5
131	9.281818	197.6087	32.9
749	9.286957	291.45	3
53	9.304348	296.73	3.3
110	9.325	277.4238	13
7	9.341667	215.5304	8.6
233	9.381818	192.1391	8.9
195	9.425	214.3304	10
264	9.47561	161.4182	5.8
68	9.509091	190.1565	5.5
15	9.575	151.1619	15
8	9.6	216.713	4.1
4	9.618182	186.1913	3
8	9.625	207.9478	6.3
7	9.65	211.2522	16
191	9.675	273.9667	5.2
202	9.7	148.5333	4.2
9	9.709091	185.3739	31.2
939	9.719512	178.5818	6.6
46	9.73913	254.5048	7
36	9.758333	140.6857	5.1
68	9.766667	208.3478	3.4
23	9.772727	180.2522	15.1
23	9.845455	184.1826	13.3
6	9.852174	289.02	4.9
68	9.858333	268.3095	10.8
23	9.869565	243.7238	23
8	9.966667	209.2261	3.3
225	10.0087	241.7238	3.8
22	10.03478	298.14	20.5
36	10.1	271.5857	5.1
233	10.13913	246.5905	9.5
45	10.19756	167.6091	19.6
420	10.21739	286.44	16
9	10.22727	197.8696	27
10	10.25	277.9095	16
7	10.26364	198.2609	12.1
41	10.275	264.5286	8
939	10.30488	164.9182	5.9
10	10.30833	228.87	3.3
15	10.32439	161.6545	11
45	10.33913	281.52	5.4
225	10.39167	144.1619	3.5
325	10.39167	207.7826	8
10	10.43478	242.9619	3.6
2	10.45	209.313	7
161	10.46087	283.97	3.9
10	10.46667	234	3.2
7	10.47273	195.7478	8.2
42	10.48696	297.83	3.4
202	10.51304	245.3143	3.4
36	10.53333	199.7739	.
75	10.53333	201.2261	.
7	10.53333	201.4609	.
10	10.61667	215.4087	5.2
42	10.61739	292.35	4.6
9	10.64167	217.0696	29.3
57	10.675	202.1478	17.1
7	10.80909	183.8261	19.4
23	10.84167	273.3	15.9
41	10.89565	282.39	27
79	10.9	143.219	13.3
36	10.91667	151.0952	4.8
749	10.97391	288.08	3.5
36	11.025	149.7238	7.6
23	11.06364	194.2435	12.5
264	11.11463	171.9091	3.9
233	11.19091	184.2783	12.2
36	11.19167	218.3739	3.4
233	11.19268	168.0455	8.7
10	11.20833	217.2435	5.4
36	11.20909	192.6174	3
