ID,DBH,SPP,MAIN,NOTES,PLOT,TRI,NAIL,MS,DEG,DIST
10575,1.60,SPOMOM,,,138,W,,,,
10576,5.00,SIMGLA,,,138,W,,,,
10577,2.50,,10576,,138,W,,,,
10578,3.10,XYLSEE,,,138,W,,,,
10579,18.30,ASTGRA,,,138,W,,,,
10580,2.30,MANHYM,,,138,W,,,,
10581,3.80,LONMIN,,,138,W,,,,
10582,5.20,LONFEL,,,138,W,,,,
10583,2.60,MACUNG,,,138,W,,,,
10584,1.40,,,"Lobed liana, voucher",138,W,,,,
10585,3.50,,,"Simple liana, voucher",138,W,,,,
10586,4.50,MACBIO,,,138,W,,,,
10587,1.90,MACUNG,,,138,W,,,,
10588,1.10,LONFEL,,,138,W,,,,
10589,7.80,RANMON,,,138,W,,,,
10590,1.20,FORSPI,,,138,W,,,,
10591,5.70,GENAME,,,138,W,,,,
10592,1.30,,,Smooth gray liana,138,W,,,,
10593,1.80,ERYHAV,,,138,W,,,,
10594,7.80,LONMIN,,,138,W,,,,
10595,2.60,FORSPI,,,138,W,,,,
10596,2.30,FORSPI,,,138,W,,,,
10597,2.80,FORSPI,,,138,W,,,,
10598,1.10,MACUNG,,,138,W,,,,
10599,5.90,MANCHI,,,138,W,,,,
10600,1.30,,10599,,138,W,,,,
10601,1.30,,10599,,138,W,,,,
10602,2.40,MACUNG,,,138,W,,,,
10603,1.00,LONFEL,,,138,W,,,,
10604,1.20,CAPIND,,,138,W,,,,
10605,1.30,,,Cordia voucher,138,W,,,,
10606,1.20,,10605,,138,W,,,,
10607,3.10,LONMIN,,,138,W,,,,
10608,2.30,,10607,,138,W,,,,
10609,0.90,ACATEN,,,138,W,,,,
10610,25.70,LUESPE,,Measured at 2.1m,138,W,,,,
10611,2.20,FORSPI,,,138,W,,,,
10612,1.40,XYLSEE,,,138,W,,,,
10613,1.40,MACUNG,,,138,W,,,,
10614,31.00,,,"Compound odd, yellow orange bark, sweet smell from slash",138,W,,,,
10615,1.50,XYLSEE,,,138,W,,,,
10616,4.80,XYLSEE,,,138,W,,,,
10617,1.20,MACUNG,,,138,W,,,,
10618,4.40,XYLSEE,,,138,W,,,,
10619,1.40,CALLAT,,,138,W,,,,
10620,1.20,MACUNG,,,138,N,,,,
10621,3.50,MACUNG,,,138,N,,,,
10622,1.30,BUNBIO,,,138,N,,,,
10623,1.20,,10622,,138,N,,,,
10624,1.00,XYLSEE,,,138,N,,,,
10625,4.60,LONMIN,,,138,N,,,,
10626,1.00,FORSPI,,,138,N,,,,
10627,26.70,BURSIM,,,138,N,,,,
10628,2.70,LONMIN,,,138,N,,,,
10629,2.30,MACBIO,,,138,N,,,,
10630,4.70,LONMIN,,,138,N,,,,
10631,2.60,XYLSEE,,,138,N,,,,
10632,7.40,CALCAN,,,138,N,,,,
10633,3.40,LONMIN,,,138,N,,,,
10634,1.30,FORSPI,,,138,N,,,,
10635,2.10,FORSPI,,,138,N,,,,
10636,2.30,ALBEDU,,,138,N,,,,
10637,1.60,,10636,,138,N,,,,
10638,2.80,LONMIN,,,138,N,,,,
10639,2.20,LONMIN,,,138,N,,,,
10640,5.00,FORSPI,,,138,N,,,,
10641,5.60,RANMON,,,138,N,,,,
10642,3.90,LONMIN,,,138,N,,,,
10643,1.50,FORSPI,,,138,N,,,,
10644,1.30,FORSPI,,,138,N,,,,
10645,23.60,,,Tall tree,138,N,,,,
10646,1.80,FORSPI,,,138,N,,,,
10647,1.10,BURSIM,,,138,N,,,,
10648,6.50,LONMIN,,,138,N,,,,
10649,3.10,ARRPAT,,,138,N,,,,
10650,1.00,FORSPI,,,138,N,,,,
10651,2.50,,,Simple liana,138,N,,,,
10652,3.80,FORSPI,,,138,N,,,,
10653,4.60,FORSPI,,,138,N,,,,
10654,4.70,FORSPI,,,138,N,,,,
10655,1.90,ALLOCC,,,138,N,,,,
