ID,DBH,SPP,MAIN,NOTES,PLOT,TRI,NAIL,MS,DEG,DIST
4146,6.4,,,Luehea sp,013,W,,,,
4147,4,,,Luehea sp,013,W,,,,
4148,2.6,,4147,,013,W,,,,
4149,3.8,TABOCH,,,013,W,,,,
4150,8.2,,,Luehea sp,013,W,,,,
4151,2.6,,,Lonchocarpus sp 2,013,W,,,,
4152,1.3,BERNIC,,,013,W,,,,
4153,12.4,TABOCH,,,013,W,,,,
4154,1.6,TABOCH,,,013,W,,,,
4155,1.5,BERNIC,,,013,W,,,,
4156,4.1,STEOBO,,,013,W,,,,
4157,3.5,STEOBO,,,013,W,,,,
4158,1.2,SPOPUR,,,013,W,,,,
4159,1.2,,,Long liana,013,W,,,,
4160,1.4,,,Long liana,013,W,,,,
4161,1.3,,,Long liana,013,W,,,,
4162,1.6,,,Long liana,013,W,,,,
4163,2.3,,,Long liana,013,W,,,,
4164,7.9,,,Lonchocarpus sp 2,013,W,,,,
4165,1.4,SOLHAZ,,,013,W,,,,
4166,1.7,,4168,,013,W,,,,
4167,6.1,,4168,,013,W,,,,
4168,7.8,,,Luehea sp,013,W,,,,
4169,2.2,SOLHAZ,,,013,W,,,,
4170,7.9,BERNIC,,,013,W,,,,
4171,1.2,,4172,,013,W,,,,
4172,1.8,,,Striped liana,013,W,,,,
4173,3.1,SPOPUR,,,013,W,,,,
4174,2.9,BUNBIO,,,013,W,,,,
4175,6.9,,,Luehea sp,013,W,,,,
4176,2.7,BUNBIO,,,013,W,,,,
4177,1.1,SOLHAZ,,,013,W,,,,
4178,0.9,,4179,,013,W,,,,
4179,1.6,STEOBO,,,013,W,,,,
4180,1.9,SOLHAZ,,,013,W,,,,
4181,1.5,,4180,,013,W,,,,
4182,1.4,CASCOR,,,013,W,,,,
4183,7.8,STEOBO,,,013,N,,,,
4184,2.5,,4183,,013,N,,,,
4185,1.7,,4183,,013,N,,,,
4186,2.3,SOLHAZ,,,013,N,,,,
4187,1.8,SPOPUR,,,013,N,,,,
4188,1.1,SPOPUR,,,013,N,,,,
4189,2.9,ACACOL,,,013,N,,,,
4190,2.8,ACACOL,,,013,N,,,,
4191,35.8,TABOCH,,,013,N,,,,
4192,6.8,TRITRI,,,013,N,,,,
4193,3.4,,4192,,013,N,,,,
4194,4.2,BUNBIO,,,013,N,,,,
4195,1,,4194,,013,N,,,,
4196,1.2,SOLHAZ,,,013,N,,,,
4197,1.5,SOLHAZ,,,013,N,,,,
4198,1.6,SOLHAZ,,,013,N,,,,
4199,1.6,,4198,,013,N,,,,
4200,1.1,SOLHAZ,,,013,N,,,,
4201,2.5,SOLHAZ,,,013,N,,,,
4202,27.3,ATEHER,,,013,N,,,,
4203,20.6,CALCAN,,Near NE Corner outside plot,013,N,,,,
4204,3.4,,4207,,013,N,,,,
4205,3.2,,4207,,013,N,,,,
4206,2.9,,4207,,013,N,,,,
4207,4,ERYHAV,,,013,N,,,,
4208,2,,4207,,013,N,,,,
4209,4.8,CAPIND,,,013,N,,,,
4210,3.5,BUNBIO,,,013,N,,,,
4211,1.9,,4210,,013,N,,,,
4212,1.7,SOLHAZ,,,013,N,,,,
4213,2.7,SOLHAZ,,,013,N,,,,
4214,1.3,SPOPUR,,,013,N,,,,
4215,1.7,,4217,,013,N,,,,
4216,3.5,,4217,,013,N,,,,
4217,3.8,CAPIND,,,013,N,,,,
4218,1.8,,4217,,013,N,,,,
4219,2.3,,4217,,013,N,,,,
4220,2.1,SOLHAZ,,,013,N,,,,
4221,3.3,CAPIND,,,013,N,,,,
4222,1.5,SOLHAZ,,,013,N,,,,
4223,1.6,,4224,,013,N,,,,
4224,2.2,SPOPUR,,,013,N,,,,
4225,4.1,BERNIC,,,013,N,,,,
4226,10.6,STEOBO,,,013,N,,,,
4227,3.1,,4228,,013,N,,,,
4228,3.2,CAPIND,,,013,N,,,,
4229,2.1,,4228,,013,N,,,,
4230,1.5,,4228,,013,N,,,,
4231,20.5,BURSIM,,,013,N,,,,
4232,11.5,BERNIC,,,013,N,,,,
4233,3.5,,4232,,013,N,,,,
4234,3.7,CASCOR,,,013,N,,,,
4235,1.2,SOLHAZ,,,013,N,,,,
4236,2.8,CAPIND,,,013,N,,,,
4237,5.3,BERNIC,,,013,N,,,,
4238,1.5,SOLHAZ,,,013,N,,,,
4239,1.5,SOLHAZ,,,013,N,,,,
4240,2.4,,4241,,013,N,,,,
4241,4.8,BERNIC,,,013,N,,,,
4242,2,SOLHAZ,,,013,N,,,,
4243,1.5,SOLHAZ,,,013,N,,,,
4244,1.3,,4243,,013,N,,,,
4245,1.5,SOLHAZ,,,013,N,,,,
