ID,DBH,SPP,MAIN,NOTES,PLOT,TRI,NAIL,MS,DEG,DIST
7187,1.10,TETVOL,,,123,W,,,,
7188,1.10,CASCOR,,,123,W,,,,
7189,4.10,PAUCUR,,,123,W,,,,
7190,2.10,ROUGLA,,,123,W,,,,
7191,4.70,OCOVER,,,123,W,,,,
7192,10.30,CORPAN,,,123,W,,,,
7193,4.00,RANMON,,,123,W,,,,
7194,12.20,,,Hairy liana,123,W,,,,
7195,4.60,,,Striped liana,123,W,,,,
7196,1.90,ROUGLA,,,123,W,,,,
7197,6.20,CALCAN,,,123,W,,,,
7198,6.50,SEMMEX,,,123,W,,,,
7199,6.60,MACBIO,,,123,W,,,,
7200,58.30,PACQUI,,Pochote,123,W,,,,
7201,2.80,OCOVER,,,123,W,,,,
7202,1.00,ROUGLA,,,123,W,,,,
7203,23.30,LICARB,,,123,W,39,,,
7204,16.70,,7203,,123,W,,,,
7205,9.90,,7203,,123,W,,,,
7206,2.50,,7203,,123,W,,,,
7207,1.50,,7203,,123,W,,,,
7208,1.00,MACBIO,,,123,W,,,,
7209,3.60,TETVOL,,,123,W,,,,
7210,4.20,,,New liana,123,W,,,,
7211,1.70,,,New liana,123,W,,,,
7212,4.20,TETVOL,,,123,W,,,,
7213,23.90,CALCAN,,,123,W,,,,
7214,12.70,,7213,,123,W,0,,,
7215,3.90,,7213,,123,W,,,,
7216,1.90,,7213,,123,W,,,,
7217,1.10,,7213,,123,W,,,,
7218,1.80,,7213,,123,W,,,,
7219,2.20,CAPIND,,,123,W,,,,
7220,1.60,ALLOCC,,,123,W,,,,
7221,1.20,CORPAN,,,123,W,,,,
7222,8.40,EXOMEX,,,123,W,,,,
7223,1.60,,New liana,,123,W,,,,
7224,4.30,OCOVER,,,123,W,,,,
7225,1.20,,7224,,123,W,,,,
7226,2.40,,7227,,123,W,,,,
7227,2.80,ALBEDU,,,123,W,,,,
7228,4.80,ALBEDU,,,123,W,,,,
7229,3.10,,7228,,123,W,,,,
7230,3.90,,7228,,123,W,,,,
7231,2.20,,7228,,123,W,,,,
7232,2.10,,7228,,123,W,,,,
7233,2.00,XYLSEE,,,123,N,,,,
7234,5.60,TETVOL,,,123,N,,,,
7235,3.40,ALBEDU,,,123,N,,,,
7236,2.00,,7235,,123,N,,,,
7237,2.00,,7235,,123,N,,,,
7238,1.50,,7235,,123,N,,,,
7239,1.10,,,Dotted liana,123,N,,,,
7240,3.40,ALBEDU,,,123,N,,,,
7241,2.50,,7040,,123,N,,,,
7242,2.20,,7040,,123,N,,,,
7243,1.50,,7040,,123,N,,,,
7244,1.70,,7040,,123,N,,,,
7245,1.10,CAPIND,,,123,N,,,,
7246,1.20,,7245,,123,N,,,,
7247,2.10,OCOVER,,,123,N,,,,
7248,1.90,TETVOL,,,123,N,,,,
7249,1.80,TETVOL,,,123,N,,,,
7250,1.40,TETVOL,,,123,N,,,,
7251,1.40,LONMIN,,,123,N,,,,
7252,1.20,,7251,,123,N,,,,
7253,3.20,,,Rough liana,123,N,,,,
7254,3.00,ACACOL,,,123,N,,,,
7255,2.50,,,Rough liana,123,N,,,,
7256,2.40,,,Rough liana,123,N,,,,
7257,3.50,,,Rough liana,123,N,,,,
7258,1.00,BUNBIO,,,123,N,,,,
7259,1.00,XYLSEE,,,123,N,,,,
7260,2.10,STEOBO,,,123,N,,,,
7261,1.50,,7260,,123,N,,,,
7262,4.60,ACACOL,,,123,N,,,,
7263,1.00,RANMON,,,123,N,,,,
7264,1.20,,,Birsonima Crassifolia,123,N,,,,
7265,1.20,STEOBO,,,123,N,,,,
7266,1.00,,7265,,123,N,,,,
7267,1.10,ALLOCC,,,123,N,,,,
7268,1.30,ALLOCC,,,123,N,,,,
7269,2.00,STEOBO,,,123,N,,,,
7270,1.40,,7269,,123,N,,,,
7271,1.70,,7269,,123,N,,,,
7272,1.30,XYLSEE,,,123,N,,,,
