ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
6214,8.00,CALCAN,,58,13.13,193,,,117,W,7/12/19
6215,2.10,CYDHET,,64,12.56,"SW:56,13.34",,,117,W,7/12/19
6216,4.50,ASTGRA,,60,12.63,196,,,117,W,7/12/19
6217,3.40,DIONIC,,64,11.08,,,,117,W,7/12/19
6218,1.60,TABOCH,,76,10.72,,,,117,W,7/12/19
6219,1.10,,6219,,,,,,117,W,7/12/19
6220,5.80,CAPIND,,82,9.33,,,,117,W,7/12/19
6221,1.40,,6220,,,,,,117,W,7/12/19
6222,2.30,CYDHET,,92,7.98,Striped liana,,,117,W,7/12/19
6223,2.40,LONMIN,,98,9.35,,,,117,W,7/12/19
6224,1.10,,6223,,,,,,117,W,7/12/19
6225,1.10,,,104,9.3,Smooth gray liana,,,117,W,7/12/19
6226,1.40,BUNBIO,,96,9.18,,,,117,W,7/12/19
6227,4.40,,6230,,,,,,117,W,7/12/19
6228,3.50,,6230,,,,,,117,W,7/12/19
6229,4.30,,6230,,,,,,117,W,7/12/19
6230,9.20,GUEMAC,,116,8.84,773,0,,117,W,7/12/19
6231,15.80,PISACU,,132,12.51,321,,,117,W,7/12/19
6232,34.20,PACQUI,,136,13.04,319,,,117,W,7/12/19
6233,1.40,CAPIND,,142,10.67,,,,117,W,7/12/19
6234,4.90,ASTGRA,,144,8.24,774,,,117,W,7/12/19
6235,6.60,CAPIND,,140,7.37,315,,,117,W,7/12/19
6236,11.30,BURSIM,,128,7.23,772,,,117,W,7/12/19
6237,1.60,STEOBO,,126,6.71,,,,117,W,7/12/19
6238,1.30,,6237,,,,,,117,W,7/12/19
6239,41.80,BURSIM,,134,6.48,318,,,117,W,7/12/19
6240,6.00,COMFAR,,128,5.66,,,,117,W,7/12/19
6241,5.90,SERSCH,,138,5.32,,,,117,W,7/12/19
6242,4.40,FORSPI,,138,4.63,,,,117,W,7/12/19
6243,1.30,FORSPI,,138,4.63,,,,117,W,7/12/19
6244,4.50,COMFAR,,92,4.99,,,,117,W,7/12/19
6245,1.00,ALLOCC,,70,7.81,,,,117,W,7/12/19
6246,1.30,SOLHAZ,,72,8.06,,,,117,W,7/12/19
6247,1.60,SOLHAZ,,70,8.71,,,,117,W,7/12/19
6248,1.80,ASTGRA,,66,9.59,,,,117,W,7/12/19
6249,4.80,ASTGRA,,62,11.62,195,,,117,W,7/12/19
6250,1.30,CAPIND,,58,13.13,,,,117,W,7/12/19
6251,1.00,FORSPI,,70,9.03,Dotted liana,,,117,W,7/12/19
6252,1.00,CYDDIV,,108,8.43,"Rough liana, near 6230",,,117,W,7/12/19
6253,1.30,CYDHET,,128,12.48,"Striped liana, near 6231",,,117,W,7/12/19
6254,2.30,CAPIND,,136,15.04,,,,117,W,7/12/19
6255,1.50,AMPPAN,,162,12.8,"NW:144,16.77",,,117,N,7/12/19
6256,1.50,ATEHER,,156,12.26,,,,117,N,7/12/19
6257,1.30,MACBIO,,174,12.73,,,,117,N,7/12/19
6258,5.10,CAPIND,,174,10.85,,,,117,N,7/12/19
6259,1.10,CASCOR,,184,11.45,,,,117,N,7/12/19
6260,1.40,SOLHAZ,,186,9.54,,,,117,N,7/12/19
6261,1.90,CERTET,,196,10.24,Liana,,,117,N,7/12/19
6262,1.60,CAPIND,,196,10.25,,,,117,N,7/12/19
6263,1.50,,6262,,,,,,117,N,7/12/19
6264,1.10,,6262,,,,,,117,N,7/12/19
6265,1.00,,6262,,,,,,117,N,7/12/19
6266,1.50,MALARB,,198,9.34,Malvaviscus arboreus,,,117,N,7/12/19
6267,2.40,CERTET,,196,8.8,Rough liana,,,117,N,7/12/19
6268,1.60,TETVOL,,198,9.5,,,,117,N,7/12/19
6269,3.30,TETVOL,,204,10.2,,,,117,N,7/12/19
6270,1.80,CERTET,,208,9.87,,,,117,N,7/12/19
6271,2.20,FORSPI,,204,10.24,Dotted liana,,,117,N,7/12/19
6272,8.60,CASSYL,,200,12.82,,,,117,N,7/12/19
6273,1.20,,6272,,,,,,117,N,7/12/19
6274,1.10,,6272,,,,,,117,N,7/12/19
6275,1.50,,6272,,,,,,117,N,7/12/19
6276,1.60,CERTET,,204,12.03,Ridged liana,,,117,N,7/12/19
6277,10.70,PISACU,,208,14.09,,,324,117,N,7/12/19
6278,5.00,,6277,,,6277,,,117,N,7/12/19
6279,2.60,,6277,,,6277,,,117,N,7/12/19
6280,3.00,,6277,,,6277,,,117,N,7/12/19
6281,36.50,CALCAN,,208,9.99,,0,322,117,N,7/12/19
6282,6.80,CERTET,,208,9.87,Rough liana,,,117,N,7/12/19
6283,1.20,CERTET,,200,12.24,"Liana, near 6280",,,117,N,7/12/19
6284,1.00,BURSIM,,196,6.56,mombin or simaruba,,,117,N,7/12/19
6285,1.10,ALLOCC,,192,7.3,,,,117,N,7/12/19
6286,1.20,DIONIC,,184,7.72,,,,117,N,7/12/19
6287,1.20,CASCOR,,180,8.47,,,,117,N,7/12/19
6288,2.30,CASCOR,,190,5.79,,,,117,N,7/12/19
6289,1.20,SEMMEX,,188,6.12,,,,117,N,7/12/19
6290,1.90,STEOBO,,182,5.89,,,,117,N,7/12/19
6291,1.60,,6290,,,,,,117,N,7/12/19
6292,1.40,ACACOL,,152,4.77,,,,117,N,7/12/19
6293,5.60,CAPIND,,154,7.96,,,320,117,N,7/12/19
