ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
5525,2.30,LONMIN,,62,16.8,"SW:52,17.2",,,115,W,7/10/19
5526,7.10,TABOCH,,72,15.64,,,,115,W,7/10/19
5527,3.00,LONMIN,,68,14.45,MS:1099,,1099,115,W,7/10/19
5528,1.80,LONOLI,,70,14.41,MS:1098,,1098,115,W,7/10/19
5529,1.10,,5528,,,MS:1100,,1100,115,W,7/10/19
5530,3.70,,5532,,,,,,115,W,7/10/19
5531,1.50,,5532,,,,,,115,W,7/10/19
5532,14.30,CHOSPI,,74,14.71,Nail,0,,115,W,7/10/19
5533,1.90,LONMIN,,80,13.11,MS:1101,,1101,115,W,7/10/19
5534,1.50,,5533,,,MS:1102,,1102,115,W,7/10/19
5535,7.40,CALCAN,,80,11.35,,,,115,W,7/10/19
5536,1.50,,,76,10.78,liana,,,115,W,7/10/19
5537,3.40,CYDHET,,92,12.04,Striped liana,,,115,W,7/10/19
5538,13.40,ASTGRA,,84,12.06,"MS:1104, Tall tree",,1104,115,W,7/10/19
5539,2.60,ASTGRA,,90,12.29,MS:1105,,1105,115,W,7/10/19
5540,1.50,,5539,,,Mark mortality dead branch,,1106,115,W,7/10/19
5541,2.10,CYDHET,,98,,Striped liana,,,115,W,7/10/19
5542,2.00,BACGUI,,91,11.51,"MS:1111, Spalm",,1111,115,W,7/10/19
5543,2.30,BACGUI,,91,11.51,"MS:1112, Spalm",,1112,115,W,7/10/19
5544,2.10,BACGUI,,91,11.51,Spalm,,,115,W,7/10/19
5545,2.30,BACGUI,,92,11.51,Spalm,,,115,W,7/10/19
5546,2.40,BACGUI,,96,11.51,Spalm,,,115,W,7/10/19
5547,2.60,BACGUI,,96,11.51,Spalm,,,115,W,7/10/19
5548,2.40,BACGUI,,98,11.51,Spalm,,,115,W,7/10/19
5549,2.50,BACGUI,,100,11.82,"MS:1113, Spalm",,1113,115,W,7/10/19
5550,8.40,ASTGRA,,96,12.59,,,,115,W,7/10/19
5551,1.40,BACGUI,,98,11.82,"MS:1116, Spalm",,1116,115,W,7/10/19
5552,2.00,BACGUI,,98,11.82,"MS:1114, Spalm",,1114,115,W,7/10/19
5553,7.60,ASTGRA,,104,12.86,MS:1117,,1117,115,W,7/10/19
5554,2.40,BACGUI,,106,11.45,Spalm,,,115,W,7/10/19
5555,2.30,BACGUI,,106,11.45,Spalm,,,115,W,7/10/19
5556,2.00,BACGUI,,120,11.67,Spalm,,,115,W,7/10/19
5557,2.40,BACGUI,,120,11.67,Spalm,,,115,W,7/10/19
5558,2.10,BACGUI,,120,11.67,Spalm,,,115,W,7/10/19
5559,2.20,BACGUI,,112,11.12,Spalm,,,115,W,7/10/19
5560,2.30,BACGUI,,114,11.12,Spalm,,,115,W,7/10/19
5561,2.40,BACGUI,,116,10.5,Spalm,,,115,W,7/10/19
