ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
8857,1.50,LONMIN,,44,13.31,"SW:42,14.06",,5691,131,W,7/26/19
8858,2.70,LONMIN,,46,13.23,,,5692,131,W,7/26/19
8859,1.60,FORSPI,,46,13.21,Dotted liana,,5693,131,W,7/26/19
8860,2.10,FORSPI,,50,12.81,Dotted liana,,5697,131,W,7/26/19
8861,1.50,LONMIN,,52,12.68,,,5698,131,W,7/26/19
8862,1.40,MACUNG,,52,12.68,Dotted liana,,5699,131,W,7/26/19
8863,3.40,MACUNG,,44,11.84,Liana,,5902,131,W,7/26/19
8864,2.80,LONMIN,,64,10.17,,,5906,131,W,7/26/19
8865,2.80,LONMIN,,70,10.35,,,5907,131,W,7/26/19
8866,2.50,LONMIN,,74,10.12,,,5910,131,W,7/26/19
8867,1.10,CAPIND,,82,8.96,,,,131,W,7/26/19
8868,2.30,MACUNG,,84,8.71,Rough liana,,5912,131,W,7/26/19
8869,1.60,ACACOL,,92,9.34,,,5913,131,W,7/26/19
8870,1.60,,8869,,,,,5914,131,W,7/26/19
8871,12.60,LONMIN,,94,9.34,Lonchocarpus,0,5916,131,W,7/26/19
8872,2.00,CYDDIV,,94,9.36,Liana,,5915,131,W,7/26/19
8873,14.80,LONMIN,,98,9.63,Lonchocarpus,0,5918,131,W,7/26/19
8874,1.20,MACUNG,,96,9.62,Liana,,5932,131,W,7/26/19
8875,1.30,CYDDIV,,96,9.62,Liana,,5931,131,W,7/26/19
8876,2.90,CYDHET,,98,9.4,Liana,,5930,131,W,7/26/19
8877,3.30,MACUNG,,94,9.77,Liana,,5917,131,W,7/26/19
8878,18.90,LONMIN,,100,8.87,Same as 8873,0,,131,W,7/26/19
8879,1.00,CYDDIV,,100,8.85,,,,131,W,7/26/19
8880,4.20,ARRPAT,,102,10.36,,,"5,927.00",131,W,7/26/19
8881,3.00,CAPIND,,108,10.47,,,5938,131,W,7/26/19
8882,1.30,,8881,,,,,,131,W,7/26/19
