ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
2686,2,ACACOL,,42,14.98,"Acacia, SW: 44,15.61",,,008,W,6/20/19
2687,3.9,TABOCH,,52,13.27,Elbow liana,,,008,W,6/20/19
2688,2.3,,,60,13.11,Cydista,,,008,W,6/20/19
2689,1.7,LONMIN,,60,12.59,Elbow liana,,,008,W,6/20/19
2690,42.6,BURSIM,,68,12.51,,,,008,W,6/20/19
2691,3.1,BUNBIO,,64,11.2,Voucher,,,008,W,6/20/19
2692,1.7,,2694,,,,,,008,W,6/20/19
2693,1.5,,2694,,,,,,008,W,6/20/19
2694,2,CAPIND,,72,11.57,Capparis sp,,,008,W,6/20/19
2695,6.6,CAPIND,,80,10.2,Capparis sp,,,008,W,6/20/19
2696,1.8,MACBIO,,82,9.61,,,,008,W,6/20/19
2697,4.5,SEMMEX,,100,10.74,,,,008,W,6/20/19
2698,1.8,,2697,,,,,,008,W,6/20/19
2699,24.1,,COUHEX,108,11.55,Tall tree,0,,008,W,6/20/19
2700,23.9,ASTGRA,,110,10.07,,,,008,W,6/20/19
2701,9,MYRFRU,,120,11.41,"Big leaves, Tall tree",,,008,W,6/20/19
2702,1.9,CAPIND,,128,11.79,"Capparis sp, same as 2692",,,008,W,6/20/19
2703,5.1,PISACU,,122,9.93,,,,008,W,6/20/19
2704,3.2,,2703,,,,,,008,W,6/20/19
2705,22.4,CALCAN,,120,8.78,Tall tree,,,008,W,6/20/19
2706,7.7,,2707,,,,,,008,W,6/20/19
2707,9.6,JAQNER,,110,7.2,,,,008,W,6/20/19
2708,2.3,BUNBIO,,110,3.56,,,,008,W,6/20/19
2709,1.9,,2708,,,,,,008,W,6/20/19
2710,17,COUHEX,,94,4.47,"Voucher, nail",0,,008,W,6/20/19
2711,3.8,MACBIO,,94,4.78,Same as 2696,,,008,W,6/20/19
2712,1,SAPPAL,,112,2.2,Voucher,,,008,W,6/20/19
2713,2,ALBEDU,,80,2.61,Casearia sp,,,008,W,6/20/19
2714,1.5,LONMIN,,60,2.64,Lonchocarpus sp 2,,,008,W,6/20/19
2715,2,LONMIN,,34,2.55,Same as 2714,,,008,W,6/20/19
2716,1.2,FORSPI,,34,2.55,Liana,,,008,W,6/20/19
2717,8.1,CYDDIV,,50,3.88,Rough liana,,,008,W,6/20/19
2718,2.7,,2719,,,,,,008,W,6/20/19
2719,5.5,PISACU,,42,4.16,,,,008,W,6/20/19
2720,3.3,,2719,,,,,,008,W,6/20/19
2721,4.1,,2719,,,,,,008,W,6/20/19
2722,2.9,,2719,,,,,,008,W,6/20/19
2723,1.6,,2719,,,,,,008,W,6/20/19
2724,29.4,GENAME,,52,6.34,"Too tall, big leaves",,,008,W,6/20/19
2725,2.3,LONMIN,,50,8.19,Lonchocarpus sp 2,,,008,W,6/20/19
2726,3.8,COUHEX,,40,8.57,Green bark,,,008,W,6/20/19
2727,1.6,BUNBIO,,40,9.75,,,,008,W,6/20/19
2728,4.2,CAPIND,,58,10.42,,,,008,W,6/20/19
2730,3.6,,,52,13.29,Cydista,,,008,W,6/20/19
2731,2.5,,,42,13.47,Cydista,,,008,W,6/20/19
2732,13.7,SAPPAL,,68,9.04,,0,,008,W,6/20/19
2733,2.1,CUPGUA,,68,8.9,,,,008,W,6/20/19
2734,4.5,,2732,,,,,,008,W,6/20/19
2735,1.8,LONMIN,,58,11.81,"Voucher, same as 2714",,,008,W,6/20/19
2736,9.2,LONMIN,,48,11.99,Tall,,,008,W,6/20/19
2737,5.2,,2738,,,,,,008,W,6/20/19
2738,5.4,SEMMEX,,92,5.99,,,,008,W,6/20/19
2739,16.4,JAQNER,,108,8.39,Measure at tag,,,008,W,6/20/19
2740,4.5,CYDDIV,,142,11.9,"Rough liana, NW: 130,14.32",,,008,N,6/20/19
2741,1.1,SOLHAZ,,160,8.53,,,,008,N,6/20/19
2742,12.5,COUHEX,,178,8.59,,,,008,N,6/20/19
2743,1.7,CYDDIV,,184,7.8,Rough liana,,,008,N,6/20/19
2744,1,MACBIO,,186,7.17,,,,008,N,6/20/19
2745,4.9,,,212,8.96,Rough liana,,,008,N,6/20/19
2746,12.3,CAPIND,,220,9.72,,,,008,N,6/20/19
2747,23.8,ASTGRA,,224,12.1,Too tall,,,008,N,6/20/19
2748,1,,2750,,,,,,008,N,6/20/19
2749,1.7,,2750,,,,,,008,N,6/20/19
2750,1.8,RANMON,,224,12.59,,,,008,N,6/20/19
2751,1.8,ASTGRA,,224,13.9,,,,008,N,6/20/19
2752,1.1,ACATEN,,228,9.73,Rough liana,,,008,N,6/20/19
2753,8.9,CAPIND,,228,9.15,,,,008,N,6/20/19
2754,2.6,,2753,,,,,,008,N,6/20/19
2755,1.2,FORSPI,,228,9.15,Rough liana,,,008,N,6/20/19
2756,1.8,ROUGLA,,230,7.34,Elbow liana,,,008,N,6/20/19
2757,16.9,ASTGRA,,236,6.67,Too tall,,,008,N,6/20/19
2758,2.8,CYDDIV,,236,3.7,Rough liana,,,008,N,6/20/19
2759,2.4,CYDDIV,,236,4.26,Rough liana,,,008,N,6/20/19
2760,3.4,CYDDIV,,238,5.24,Rough liana,,,008,N,6/20/19
2761,2.8,CYDDIV,,236,5.47,Rough liana,,,008,N,6/20/19
2762,9.9,GUEMAC,,224,3.13,,,,008,N,6/20/19
2763,2.8,CYDDIV,,236,2.23,Rough liana,,,008,N,6/20/19
2764,3.2,CYDDIV,,214,2.09,Rough liana,,,008,N,6/20/19
2765,1.4,CYDDIV,,200,1.82,Rough liana,,,008,N,6/20/19
2766,1.1,FORSPI,,214,2.09,Rough liana,,,008,N,6/20/19
2767,4.5,PISACU,,168,4.87,,,,008,N,6/20/19
2768,3.1,,2767,,,,,,008,N,6/20/19
2769,2,,2767,,,,,,008,N,6/20/19
2770,2.4,,2767,,,,,,008,N,6/20/19
2771,2.3,,2767,,,,,,008,N,6/20/19
2772,2.3,,2767,,,,,,008,N,6/20/19
2773,11.7,REHTRI,,138,4.19,Pole,,,008,N,6/20/19
2774,2.5,SOLHAZ,,144,7.4,,,,008,N,6/20/19
2775,1.5,SOLHAZ,,144,6.99,,,,008,N,6/20/19
2776,2.3,SOLHAZ,,180,4.62,,,,008,N,6/20/19
2777,2,SOLHAZ,,192,5.09,,,,008,N,6/20/19
2778,1.2,SOLHAZ,,190,3.96,,,,008,N,6/20/19
2779,6,CAPIND,,210,5.88,,,,008,N,6/20/19
2780,1.3,SOLHAZ,,198,8.56,,,,008,N,6/20/19
2781,1.1,TABOCH,,200,8.65,,,,008,N,6/20/19
2782,2,SAPTHE,,184,8.73,,,,008,N,6/20/19
2783,19.5,CAPIND,,232,13.42,"Nail, NE:228,13.90",0,,008,E,6/20/19
2784,2,SOLHAZ,,233,13.57,,,,008,E,6/20/19
2785,1.2,SOLHAZ,,234,12.65,,,,008,E,6/20/19
2786,6.5,ARRPAT,,268,9.14,Dotted liana,,,008,E,6/20/19
2787,4.2,TETVOL,,266,8.54,,,,008,E,6/20/19
2788,3,CAPIND,,266,8.01,Dark brown liana,,,008,E,6/20/19
2789,2.8,TETVOL,,290,7.64,,,,008,E,6/20/19
2790,7.4,CAPIND,,288,8.54,,,,008,E,6/20/19
2791,2.1,LONMIN,,310,9.94,Voucher,,,008,E,6/20/19
2792,6,ASTGRA,,314,10.48,Pole,,,008,E,6/20/19
2793,4.8,ARRPAT,,312,10.04,Dotted liana,,,008,E,6/20/19
2794,3.6,ARRPAT,,320,10.02,Dotted liana,,,008,E,6/20/19
2795,2.4,LONMIN,,316,8.26,"Lonchocarpus sp, 2714",,,008,E,6/20/19
2796,6,MACBIO,,318,7.17,Pole,,,008,E,6/20/19
2797,5.2,ARRPAT,,310,5.47,Dotted liana,,,008,E,6/20/19
2798,7.3,CAPIND,,304,5.64,,,,008,E,6/20/19
2799,4.3,,,336,4.04,Cydista,,,008,E,6/20/19
2800,1.3,SOLHAZ,,306,3.62,,,,008,E,6/20/19
2801,1.8,SOLHAZ,,298,3.15,,,,008,E,6/20/19
2802,1.9,,2805,,,Luhea sp,,,008,E,6/20/19
2803,2.5,SOLHAZ,,288,3.57,,,,008,E,6/20/19
2804,2.3,SOLHAZ,,284,4.36,,,,008,E,6/20/19
2805,9.1,LUECAN,,286,2.64,"Red bark, no voucher",,,008,E,6/20/19
2806,2.9,CYDDIV,,276,1.83,Rough liana,,,008,E,6/20/19
2807,2.2,CYDDIV,,288,2.08,,,,008,E,6/20/19
2808,4.8,CAPIND,,246,3.24,,,,008,E,6/20/19
2809,2.7,SOLHAZ,,260,3.29,,,,008,E,6/20/19
2810,2,SOLHAZ,,260,3.64,,,,008,E,6/20/19
2811,1.6,SAPTHE,,256,4.06,,,,008,E,6/20/19
2812,1,SOLHAZ,,270,3.99,,,,008,E,6/20/19
2813,1.9,CYDDIV,,250,4.89,liana,,,008,E,6/20/19
2814,8.5,,2816,,,,,,008,E,6/20/19
2815,8.4,,2816,,,,,,008,E,6/20/19
2816,9.4,PISACU,,258,5.98,Randia?,,,008,E,6/20/19
2817,1.3,ZANSET,,240,10.05,,,,008,E,6/20/19
2818,1.8,SOLHAZ,,234,10.87,,,,008,E,6/20/19
2819,4,ASTGRA,,222,11.09,,,,008,E,6/20/19
2820,1.2,ARRPAT,,298,8.98,Dotted liana,,,008,E,6/20/19
2821,1.2,OCOVER,,280,8.15,,,,008,E,6/20/19
2822,3,,,298,9.99,Rough liana,,,008,E,6/20/19
2823,3.4,,,296,9.96,Rough liana,,,008,E,6/20/19
2824,9.2,SAPTHE,,326,12.5,"SE:318,13.85",,,008,S,6/20/19
2825,2,,,332,11.02,Dotted liana,,,008,S,6/20/19
2826,3.8,ASTGRA,,340,10.41,,,,008,S,6/20/19
2827,18.8,EXOMEX,,350,7.97,Pole,,,008,S,6/20/19
2828,1.5,,,340,8.11,Rough liana,,,008,S,6/20/19
