ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
5360,5.90,BERNIC,,36,9.78,"SW:26,11.35",,1056,114,W,7/9/19
5361,1.30,,"5,360.00",,,,,,114,W,7/9/19
5362,5.00,BERNIC,,46,6.36,MS:1062,,1062,114,W,7/9/19
5363,4.50,,"5,362.00",,,MS:1063,,1063,114,W,7/9/19
5364,1.80,BERNIC,,44,4.17,,,,114,W,7/9/19
5365,1.30,,"5,364.00",,,,,,114,W,7/9/19
5366,1.70,CYDHET,,18,4.58,Striped liana,,,114,W,7/9/19
5367,1.30,TABOCH,,52,3.78,,,,114,W,7/9/19
5368,1.00,,"5,367.00",,,,,,114,W,7/9/19
5369,1.70,CISSIC,,48,2.7,Green liana,,,114,W,7/9/19
5370,6.40,CYDHET,,44,3.09,Cable liana,,,114,W,7/9/19
5371,2.90,BERNIC,,102,4.11,,,,114,W,7/9/19
5372,4.40,CYDHET,,90,3.83,Striped liana,,,114,W,7/9/19
5373,41.20,GUEMAC,,116,2.94,Nail,0,,114,W,7/9/19
5374,13.60,,"5,373.00",,,,,,114,W,7/9/19
5375,1.70,,"5,373.00",,,,,,114,W,7/9/19
5376,6.00,,"5,373.00",,,,,,114,W,7/9/19
5377,4.00,BERNIC,,116,2.06,,,,114,W,7/9/19
5378,3.80,,"5,377.00",,,,,,114,W,7/9/19
5379,6.90,BUNBIO,,146,5.36,,,,114,W,7/9/19
5380,2.10,THODEC,,150,8.65,"MS:1076, Defoliated",,1076,114,W,7/9/19
5381,1.00,,"5,381.00",,,MS:1077,,1077,114,W,7/9/19
5382,1.80,LONMIN,,170,6.93,Lonchocarpus sp2,,,114,W,7/9/19
5383,1.70,,"5,382.00",,,,,,114,W,7/9/19
5384,2.50,SOLHAZ,,218,3.36,,,,114,W,7/9/19
5385,1.60,SOLHAZ,,202,2.12,,,,114,W,7/9/19
5386,1.70,SOLHAZ,,200,1.7,,,,114,W,7/9/19
5387,2.20,SOLHAZ,,236,1.86,,,,114,W,7/9/19
5388,1.10,CORGUA,,224,4.02,,,,114,W,7/9/19
5389,1.70,SOLHAZ,,284,2.44,,,,114,W,7/9/19
5390,1.40,SOLHAZ,,292,2.74,,,,114,W,7/9/19
5391,1.30,SOLHAZ,,292,2.04,,,,114,W,7/9/19
5392,29.40,CAPIND,,270,0.91,Tall tree,0,,114,W,7/9/19
5393,27.20,,"5,392.00",,,,,,114,W,7/9/19
5394,1.80,SOLHAZ,,268,2.08,,,,114,W,7/9/19
5395,3.70,BERNIC,,16,1.91,,,,114,W,7/9/19
5396,2.40,BERNIC,,8,4.98,,,,114,W,7/9/19
5397,5.50,BERNIC,,24,4.95,,,,114,W,7/9/19
5398,3.90,CYDHET,,26,2.25,Striped liana,,,114,W,7/9/19
5399,5.10,CYDHET,,36,1.86,Striped liana,,,114,W,7/9/19
5400,1.90,LONOLI,,148,2.57,Lonchocarpus sp 4,,,114,W,7/9/19
5401,2.10,BERNIC,,172,0.91,,,,114,W,7/9/19
5402,2.10,,"5,401.00",,,,,,114,W,7/9/19
5403,2.50,,"5,401.00",,,,,,114,W,7/9/19
5404,2.30,LONMIN,,180,9.2,"NW:158,11.57",,,114,N,7/10/19
5405,2.60,PISACU,,186,9.2,,,,114,N,7/10/19
5406,1.70,,5405,,,,,,114,N,7/10/19
5407,13.90,BUNBIO,,206,9.38,,0,,114,N,7/10/19
5408,1.20,,5409,,,MS:1577,,1577,114,N,7/10/19
5409,3.20,BERNIC,,220,12.53,MS:1578,,1578,114,N,7/10/19
5410,2.10,,5409,,,MS:1410,,1410,114,N,7/10/19
5411,1.10,BUNBIO,,226,12.16,,,,114,N,7/10/19
5412,2.30,ALBEDU,,228,12.91,,,,114,N,7/10/19
5413,1.90,,5412,,,,,,114,N,7/10/19
5414,1.50,LONMIN,,230,12.69,,,,114,N,7/10/19
5415,1.50,CORPAN,,234,14,,,,114,N,7/10/19
5416,1.30,CYDHET,,234,16.05,Striped liana,,,114,N,7/10/19
5417,1.80,MACUNG,,232,16.05,Hairy liana,,,114,N,7/10/19
5418,1.30,MACUNG,,232,16.05,Hairy liana,,,114,N,7/10/19
5419,1.50,CYDHET,,232,16.05,Striped liana,,,114,N,7/10/19
5420,3.00,,5421,,,,,,114,N,7/10/19
5421,4.10,BERNIC,,238,14,,,,114,N,7/10/19
5422,2.60,,5421,,,,,,114,N,7/10/19
5423,2.30,,5421,,,,,,114,N,7/10/19
5424,2.3,BUNBIO,,240,12.58,,,,114,N,7/10/19
5425,1.10,FORSPI,,246,9.74,Rough liana,,,114,N,7/10/19
5426,1.20,MACBIO,,242,8.22,"MS:1397, ",,1397,114,N,7/10/19
5427,3.50,FORSPI,,240,7.84,"MS:1393, Apo liana",,1393,114,N,7/10/19
5428,1.20,FORSPI,,240,7.84,Dotted liana,,,114,N,7/10/19
5429,1.70,FORSPI,,242,7.84,Dotted liana,,,114,N,7/10/19
5430,4.70,BERNIC,,232,6.15,,,,114,N,7/10/19
5431,4.80,,5430,,,,,,114,N,7/10/19
5432,1.20,FORSPI,,228,6,Dotted liana,,,114,N,7/10/19
5433,1.10,FORSPI,,230,6,Dotted liana,,,114,N,7/10/19
5434,5.20,ALBEDU,,242,6.16,,,,114,N,7/10/19
5435,2.20,,5434,,,,,,114,N,7/10/19
5436,1.10,CYDHET,,252,5.5,Striped liana,,,114,N,7/10/19
5437,2.80,CYDHET,,248,5.28,Striped liana,,,114,N,7/10/19
5438,1.30,LONMIN,,226,6.89,,,,114,N,7/10/19
5439,1.80,SOLHAZ,,210,6.13,,,,114,N,7/10/19
5440,2.30,BERNIC,,218,8.16,,,,114,N,7/10/19
5441,1.10,ARRPAT,,222,8.43,"MS:1395, Rough liana",,1395,114,N,7/10/19
5442,1.70,FORSPI,,228,9.13,"Low to ground near 5426, Rough liana",,,114,N,7/10/19
5443,4.40,BERNIC,,196,5.81,,,,114,N,7/10/19
5444,5.40,BERNIC,,188,5.42,,,,114,N,7/10/19
5445,4.10,THODEC,,184,6.81,"Voucher, compound serrate, Thouinidium?",,,114,N,7/10/19
5446,4.50,,5445,,,Same as 5445,,,114,N,7/10/19
5447,1.10,FORSPI,,186,6.81,Dotted liana,,,114,N,7/10/19
5448,1.40,FORSPI,,186,6.81,Dotted liana,,,114,N,7/10/19
5449,6.40,CHOSPI,,174,8.31,1.7m,,,114,N,7/10/19
5450,2.80,FORSPI,,174,8.16,Dotted liana,,,114,N,7/10/19
