ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
3624,1.5,ALLOCC,,52,11.63,"SW:46,12.67",,,011,W,6/24/19
3625,1.1,SEMMEX,,56,11.13,,,,011,W,6/24/19
3626,1.1,ATEHER,,56,9.81,,,,011,W,6/24/19
3627,5.1,LUECAN,,70,8.93,Luehea sp 1,,,011,W,6/24/19
3628,1.5,,3627,,,,,,011,W,6/24/19
3629,5.5,CAPIND,,70,8.46,,,,011,W,6/24/19
3630,26.9,BUNBIO,,86,8.04,Nail,0,,011,W,6/24/19
3631,16.1,,3630,,,,,,011,W,6/24/19
3632,1.8,CAPIND,,86,7.79,,,,011,W,6/24/19
3633,7.8,LUECAN,,102,9.12,Luehea sp,,,011,W,6/24/19
3634,1.1,,3633,,,,,,011,W,6/24/19
3635,1.1,,3633,,,,,,011,W,6/24/19
3636,1.2,,3633,,,,,,011,W,6/24/19
3637,5.6,LONMIN,,130,11.23,Lonchocarpus sp 2,,,011,W,6/24/19
3638,2.1,,,130,11.23,Dotted liana,,,011,W,6/24/19
3639,3.8,,3640,,,,,,011,W,6/24/19
3640,5.1,PISACU,,122,9.35,,,,011,W,6/24/19
3641,2.2,CAPIND,,116,8.35,,,,011,W,6/24/19
3642,8.1,LUECAN,,130,7.22,Luehea sp,,,011,W,6/24/19
3643,2.6,,,130,5.37,Striped liana,,,011,W,6/24/19
3644,1.7,LONMIN,,132,4.57,Lonchocarpus sp 2,,,011,W,6/24/19
3645,3.7,BUNBIO,,126,4.83,,,,011,W,6/24/19
3646,22,BURSIM,,120,4.58,Nail,0,,011,W,6/24/19
3647,1.7,,,104,3.56,Striped liana,,,011,W,6/24/19
3648,3,CAPIND,,136,2.57,,,,011,W,6/24/19
3649,6.7,ASTGRA,,52,1.56,,,,011,W,6/24/19
3650,1.3,SOLHAZ,,70,2.65,,,,011,W,6/24/19
3651,2.3,ACACOL,,74,3.81,,,,011,W,6/24/19
3652,2.5,CAPIND,,82,4.09,,,,011,W,6/24/19
3653,3.1,LONMIN,,82,5.19,Lonchocarpus sp 2,,,011,W,6/24/19
3654,2.7,LONMIN,,52,4.95,Lonchocarpus sp 2,,,011,W,6/24/19
3655,1.8,SEMMEX,,62,6.83,,,,011,W,6/24/19
3656,1.7,,3655,,,,,,011,W,6/24/19
