ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
7928,1.80,TETVOL,,50.00,9.87,"SW:50,12.21",,,126,W,7/17/19
7929,1.40,FORSPI,,60.00,9.20,Dotted liana,,,126,W,7/17/19
7930,2.50,SEMMEX,,62.00,9.24,,,,126,W,7/17/19
7931,8.60,SEMMEX,,62.00,8.95,,,,126,W,7/17/19
7932,1.40,,,70.00,6.97,Dotted liana,,,126,W,7/17/19
7933,1.30,PSYHOR,,68.00,7.21,Rubiacae voucher,,,126,W,7/17/19
7934,1.10,,7933,,,Rubiacae voucher,,,126,W,7/17/19
7935,1.50,SEMMEX,,72.00,7.65,,,,126,W,7/17/19
7936,1.90,LONMIN,,80.00,6.22,,,,126,W,7/17/19
7937,1.90,,7936,,,,,,126,W,7/17/19
7938,2.00,,7936,,,,,,126,W,7/17/19
7939,21.90,LONMIN,,84.00,7.03,,,,126,W,7/17/19
7940,7.10,CAPIND,,92.00,7.80,,,,126,W,7/17/19
7941,2.30,CYDHET,,98.00,6.58,Striped liana,,,126,W,7/17/19
7942,1.80,CYDHET,,106.00,7.54,Striped liana,,,126,W,7/17/19
7943,3.70,CAPIND,,110.00,6.67,,,,126,W,7/17/19
7944,22.30,THODEC,,114.00,7.46,,,,126,W,7/17/19
7945,6.80,CAPIND,,124.00,8.35,,,,126,W,7/17/19
7946,3.80,,7945,,,,,,126,W,7/17/19
7947,6.40,,7945,,,,,,126,W,7/17/19
7948,2.90,PAUCUR,,130.00,7.78,,,,126,W,7/17/19
7949,2.70,PAUCUR,,138.00,8.83,,,,126,W,7/17/19
7950,6.60,RANTHU,,134.00,9.21,,,,126,W,7/17/19
7951,5.10,,7950,,,,,,126,W,7/17/19
7952,1.70,TRICUN,,136.00,10.84,Trichilia voucher,,,126,W,7/17/19
7953,1.50,,7952,,,,,,126,W,7/17/19
7954,1.40,,7952,,,,,,126,W,7/17/19
7955,1.50,OCOVER,,134.00,9.12,,,,126,W,7/17/19
7956,4.30,ALLOCC,,122.00,4.42,,,,126,W,7/17/19
7957,2.50,,7956,,,,,,126,W,7/17/19
7958,2.20,,7956,,,,,,126,W,7/17/19
7959,1.60,XYLSEE,,166.00,2.87,,,,126,W,7/17/19
7960,1.40,THODEC,,152.00,2.31,,,,126,W,7/17/19
7961,1.40,,7960,,,,,,126,W,7/17/19
7962,1.20,MACTIN,,130.00,2.64,,,,126,W,7/17/19
7963,1.90,TETVOL,,110.00,4.03,,,,126,W,7/17/19
7964,3.90,CASCOR,,70.00,2.87,,,,126,W,7/17/19
7965,1.00,,7964,,,,,,126,W,7/17/19
7966,1.40,SEMMEX,,78.00,3.65,,,,126,W,7/17/19
7967,1.20,SEMMEX,,66.00,3.53,,,,126,W,7/17/19
7968,1.10,LONMIN,,156.00,8.75,"NW:136, 12.04",,,126,N,7/17/19
7969,1.50,,,170.00,7.61,Dotted liana,,,126,N,7/17/19
7970,2.90,CAPIND,,186.00,8.11,,,,126,N,7/17/19
7971,3.60,,7970,,,,,,126,N,7/17/19
7972,6.80,LONMIN,,180.00,7.96,,,,126,N,7/17/19
7973,4.30,FORSPI,,196.00,8.66,Dotted liana,,,126,N,7/17/19
7974,1.40,CAPIND,,196.00,8.50,,,,126,N,7/17/19
7975,11.60,LONMIN,,202.00,8.28,,,,126,N,7/17/19
7976,1.00,FORSPI,,205.00,8.28,Dotted liana,,,126,N,7/17/19
7977,8.90,THODEC,,204.00,9.40,,,,126,N,7/17/19
7978,15.90,COCVIT,,210.00,11.71,,,,126,N,7/17/19
7979,16.60,LONMIN,,216.00,10.35,,,,126,N,7/17/19
7980,1.90,CYDHET,,222.00,10.91,Striped liana,,,126,N,7/17/19
7981,4.10,FORSPI,,194.00,5.94,Dotted liana,,,126,N,7/17/19
7982,2.10,FORSPI,,194.00,6.10,Dotted liana,,,126,N,7/17/19
7983,6.80,TRIHIR,,200.00,6.06,Trichilia voucher small,,,126,N,7/17/19
7984,1.30,FORSPI,,200.00,5.68,Dotted liana,,,126,N,7/17/19
7985,1.70,FORSPI,,190.00,4.30,Dotted liana,,,126,N,7/17/19
7986,6.70,TRIHIR,,194.00,4.90,Same as 7983,,,126,N,7/17/19
7987,2.10,FORSPI,,178.00,3.79,Dotted liana,,,126,N,7/17/19
7988,1.90,PSYHOR,,172.00,5.64,Rubiacae voucher,,,126,N,7/17/19
7989,1.90,,7988,,,7988,,,126,N,7/17/19
7990,1.40,PAUCUR,,160.00,6.50,,,,126,N,7/17/19
7991,1.70,FORSPI,,168.00,6.86,Dotted liana,,,126,N,7/17/19
7992,1.70,FORSPI,,166.00,8.33,Dotted liana,,,126,N,7/17/19
7993,1.30,PAUCUR,,146.00,7.15,,,,126,N,7/17/19
7994,3.10,FORSPI,,144.00,7.70,Dotted liana,,,126,N,7/17/19
7995,2.80,FORSPI,,146.00,6.87,Dotted liana,,,126,N,7/17/19
7996,7.40,LONFEL,,152.00,7.16,,,,126,N,7/17/19
7997,1.90,ALBEDU,,214.00,8.80,,,,126,N,7/17/19
7998,2.60,,7997,,,,,,126,N,7/17/19
7999,1.70,SEMMEX,,232.00,14.27,"NE:224,16.71",,,126,E,7/17/19
8000,3.30,,,228.00,14.35,Striped liana,,,126,E,7/17/19
8001,1.80,CYDHET,,228.00,14.06,Striped liana,,,126,E,7/17/19
8002,2.30,CYDHET,,228.00,14.20,Striped liana,,,126,E,7/17/19
8003,1.90,,,230.00,14.30,Striped liana,,,126,E,7/17/19
8004,2.00,CYDHET,,224.00,14.38,Striped liana,,,126,E,7/17/19
8005,2.00,CYDHET,,234.00,14.63,Striped liana,,,126,E,7/17/19
8006,1.80,CYDHET,,232.00,14.32,Striped liana,,,126,E,7/17/19
8007,2.60,CYDHET,,222.00,14.22,Striped liana,,,126,E,7/17/19
8008,15.70,GUEMAC,,224.00,13.84,,,,126,E,7/17/19
8009,2.40,CYDHET,,230.00,13.11,Striped liana,,,126,E,7/17/19
8010,2.20,CYDHET,,232.00,12.50,Striped liana,,,126,E,7/17/19
8011,1.40,CYDHET,,226.00,13.20,Striped liana,,,126,E,7/17/19
8012,1.50,LONMIN,,228.00,12.53,,,,126,E,7/17/19
8013,3.50,CASCOR,,238.00,11.18,,,,126,E,7/17/19
8014,1.40,PAUCUR,,228.00,10.48,,,,126,E,7/17/19
8015,2.00,LONMIN,,240.00,10.12,,,,126,E,7/17/19
8016,2.00,THODEC,,242.00,10.35,,,,126,E,7/17/19
8017,2.00,FORSPI,,248.00,8.86,Dotted liana,,,126,E,7/17/19
8018,4.00,CAPIND,,252.00,10.14,,,,126,E,7/17/19
8019,2.90,,8018,,,,,,126,E,7/17/19
8020,2.50,CAPIND,,254.00,9.02,,,,126,E,7/17/19
8021,1.90,CAPVER,,252.00,7.43,Fake capparis,,,126,E,7/17/19
8022,1.00,,8021,,,,,,126,E,7/17/19
8023,1.30,,8021,,,,,,126,E,7/17/19
8024,1.60,CYDHET,,264.00,8.96,Striped liana,,,126,E,7/17/19
8025,3.70,CASCOR,,268.00,8.71,,,,126,E,7/17/19
8026,1.10,FORSPI,,268.00,9.82,Dotted liana,,,126,E,7/17/19
8027,24.50,CALCAN,,270.00,10.48,,,,126,E,7/17/19
8028,1.80,,8027,,,,,,126,E,7/17/19
8029,1.70,CYDHET,,274.00,10.73,Striped liana,,,126,E,7/17/19
8030,1.10,LONMIN,,282.00,9.66,,,,126,E,7/17/19
8031,1.60,CAPIND,,286.00,8.81,,,,126,E,7/17/19
8032,1.70,,8031,,,,,,126,E,7/17/19
8033,2.30,CAPVER,,282.00,8.06,Fake capparis,,,126,E,7/17/19
8034,1.20,,8033,,,,,,126,E,7/17/19
8035,2.30,SPOPUR,,282.00,7.58,,,,126,E,7/17/19
8036,4.50,GENAME,,290.00,8.84,,,,126,E,7/17/19
8037,21.00,CALCAN,,294.00,9.42,,,,126,E,7/17/19
8038,8.50,,8037,,,,,,126,E,7/17/19
8039,2.90,CYDDIV,,288.00,9.65,Speckled liana,,,126,E,7/17/19
8040,3.30,CYDDIV,,288.00,9.65,Speckled liana,,,126,E,7/17/19
8041,3.50,CASCOR,,294.00,9.87,,,,126,E,7/17/19
8042,1.30,CYDHET,,294.00,11.58,Striped liana,,,126,E,7/17/19
8043,2.10,PAUCUR,,288.00,6.69,,,,126,E,7/17/19
8044,1.90,PAUCUR,,288.00,5.93,,,,126,E,7/17/19
8045,6.30,CHOSPI,,282.00,6.30,,,,126,E,7/17/19
8046,4.90,,8045,,,,,,126,E,7/17/19
8047,4.00,,8045,,,,,,126,E,7/17/19
8048,73.50,PACQUI,,276.00,6.50,,,,126,E,7/17/19
