6	-18	221	5	0
165	-18	224	3	0
258	-18	228	4	0
258	-18	229	6	0
258	-18	232	3	0
45	-18	237	4	0
212	-18	249	4	0
258	-18	252	6	0
46	-18	253	3	0
46	-18	258	5	0
225	-18	259	3	0
225	-17	221	5	0
23	-17	227	5	0
258	-17	232	3	0
258	-17	234	3	0
258	-17	235	3	0
22	-17	239	7	0
22	-17	244	26	3
258	-17	247	4	0
258	-17	254	4	0
46	-17	259	3	0
21	-16	221	14	4
239	-16	224	6	0
258	-16	228	5	0
22	-16	238	14	8
258	-16	240	3	0
258	-16	243	4	0
258	-16	249	3	0
258	-16	251	4	0
258	-16	253	6	0
258	-16	254	4	0
258	-16	256	4	0
225	-16	261	4	0
225	-16	262	3	0
258	-16	265	5	0
2	-16	275	12	0
15	-15	220	4	0
15	-15	227	5	0
46	-15	234	4	0
22	-15	241	8	0
225	-15	242	8	0
15	-15	249	7	13
258	-15	252	6	0
225	-15	255	4	0
258	-15	256	4	0
225	-15	257	3	0
258	-15	258	5	0
46	-15	268	4	0
46	-15	271	4	0
46	-15	272	4	0
6	-14	228	6	0
22	-14	236	5	0
225	-14	237	4	0
41	-14	239	13	7
233	-14	240	3	0
258	-14	241	3	0
258	-14	244	7	0
225	-14	245	7	0
258	-14	246	6	0
258	-14	249	4	0
258	-14	254	4	0
258	-14	255	6	0
239	-14	255	6	0
258	-14	256	6	0
46	-14	259	7	0
46	-14	264	8	5
161	-14	266	5	0
46	-14	267	8	0
33	-14	278	4	0
212	-14	279	4	0
46	-14	282	5	0
258	-14	284	3	0
62	-14	285	11	0
46	-14	286	4	0
46	-14	288	4	0
15	-13	222	5	0
225	-13	233	6	0
258	-13	243	4	0
44	-13	245	4	0
258	-13	246	7	0
258	-13	247	4	0
225	-13	250	4	0
15	-13	252	12	15
258	-13	253	4	0
23	-13	256	11	12
258	-13	257	3	0
46	-13	263	8	4
46	-13	267	5	0
46	-13	273	5	0
30	-13	275	5	0
21	-13	277	8	0
62	-13	283	6	0
62	-13	288	8	0
233	-13	290	5	0
46	-13	292	3	0
62	-13	292	7	0
68	-12	226	8	0
258	-12	234	5	0
22	-12	237	12	6
19	-12	238	4	0
22	-12	239	8	5
258	-12	247	4	0
258	-12	249	3	0
6	-12	250	5	0
258	-12	251	9	14
4	-12	253	6	0
258	-12	254	4	0
46	-12	272	5	0
21	-12	274	6	0
46	-12	278	4	0
4	-12	283	4	0
62	-12	289	11	0
9	-12	291	8	10
258	-12	295	4	0
21	-12	297	7	0
258	-12	298	5	0
22	-12	299	7	0
258	-12	300	3	0
164	-12	301	19	17
38	-12	302	10	16
6	-11	224	3	0
22	-11	227	4	0
22	-11	240	10	2
239	-11	244	4	2
258	-11	254	8	0
258	-11	256	8	0
225	-11	257	4	0
21	-11	273	5	0
258	-11	293	3	0
21	-11	297	4	0
46	-11	298	4	0
9	-11	299	13	9
80	-11	301	150	15
216	-11	302	4	0
45	-11	306	3	0
7	-11	308	4	0
22	-11	316	6	10
15	-10	227	8	0
22	-10	231	22	9
37	-10	237	5	0
21	-10	238	18	1
258	-10	241	3	0
36	-10	244	7	0
45	-10	251	3	0
258	-10	255	6	0
46	-10	258	7	0
74	-10	260	4	0
258	-10	262	4	0
46	-10	263	4	0
46	-10	265	5	0
46	-10	270	5	1
45	-10	272	4	0
4	-10	279	5	0
258	-10	284	17	0
62	-10	286	10	0
62	-10	287	9	1
239	-10	289	9	11
258	-10	296	4	0
27	-10	302	7	0
258	-10	303	4	0
62	-10	304	9	14
4	-10	307	4	0
258	-10	310	4	0
22	-10	317	6	0
19	-10	318	6	0
258	-10	319	9	0
258	-10	321	4	0
19	-10	321	4	0
21	-9	225	10	10
225	-9	231	5	0
225	-9	248	5	0
258	-9	249	6	0
19	-9	250	5	0
258	-9	252	9	0
258	-9	255	7	0
258	-9	257	4	0
9	-9	261	10	3
46	-9	263	5	0
46	-9	264	4	0
225	-9	267	6	0
225	-9	274	4	0
225	-9	285	5	0
258	-9	289	3	0
258	-9	296	6	0
233	-9	301	7	0
4	-9	305	4	0
22	-9	312	9	12
233	-9	314	6	11
22	-9	320	4	0
239	-9	323	11	1
4	-9	325	4	0
22	-9	325	20	10
11	-9	328	4	0
21	-8	245	5	0
23	-8	246	9	16
258	-8	251	6	0
258	-8	258	4	0
33	-8	262	3	0
46	-8	269	3	0
258	-8	291	7	0
258	-8	292	4	0
258	-8	297	4	0
22	-8	301	9	18
9	-8	302	7	0
6	-8	309	3	0
19	-8	325	3	0
19	-8	326	4	0
19	-8	329	3	0
239	-8	331	3	9
19	-8	332	5	0
90	-8	333	5	0
19	-8	333	7	0
15	-8	335	4	0
68	-7	226	4	0
68	-7	228	6	0
225	-7	229	4	0
45	-7	230	7	0
111	-7	236	4	0
46	-7	237	7	0
21	-7	244	7	0
21	-7	245	7	0
258	-7	251	3	0
15	-7	257	9	10
258	-7	260	7	9
15	-7	261	5	2
15	-7	262	4	0
15	-7	263	4	0
225	-7	281	4	0
33	-7	286	3	0
38	-7	288	10	13
258	-7	293	4	0
258	-7	299	10	0
22	-7	309	19	13
6	-7	316	4	0
258	-7	317	4	0
19	-7	327	4	0
7	-7	330	4	0
174	-7	334	4	0
131	-7	337	4	8
225	-6	240	4	0
21	-6	240	11	1
6	-6	244	4	0
68	-6	248	4	0
111	-6	249	9	0
239	-6	249	19	17
23	-6	254	3	0
15	-6	261	6	6
46	-6	264	6	0
174	-6	267	5	0
46	-6	269	4	0
174	-6	271	4	0
174	-6	273	4	0
19	-6	283	19	5
258	-6	292	4	0
62	-6	294	7	0
21	-6	297	3	0
174	-6	298	6	0
22	-6	309	12	19
17	-6	319	7	9
52	-6	325	4	0
37	-6	329	3	0
111	-6	331	8	0
212	-6	336	3	0
41	-6	337	7	0
46	-6	340	4	0
233	-6	341	8	0
62	-6	343	5	0
225	-5	230	6	0
15	-5	237	5	0
225	-5	240	3	0
68	-5	246	3	0
21	-5	253	17	7
21	-5	258	8	8
46	-5	263	4	0
15	-5	264	3	0
19	-5	281	17	4
225	-5	289	5	0
17	-5	291	4	0
6	-5	294	3	0
233	-5	297	6	0
258	-5	299	6	0
258	-5	301	4	0
233	-5	308	4	0
19	-5	309	4	0
174	-5	314	9	0
216	-5	316	4	0
258	-5	327	3	0
75	-5	334	8	5
37	-5	342	4	0
17	-5	344	5	0
258	-5	347	4	0
233	-5	347	8	0
