ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
6385,4.20,FORSPI,,40,9.7,"SW:40,13.65",,,118,W,7/12/19
6386,10.80,EXOMEX,,52,8.93,793,,,118,W,7/12/19
6387,42.90,BURSIM,,54,8.61,338,,,118,W,7/12/19
6388,4.40,ASTGRA,,58,7.86,,,,118,W,7/12/19
6389,2.40,ASTGRA,,68,8.12,,,,118,W,7/12/19
6390,2.60,ASTGRA,,72,7.22,,,,118,W,7/12/19
6391,1.20,FORSPI,,70,7.2,,,,118,W,7/12/19
6392,2.60,ASTGRA,,78,6.96,,,,118,W,7/12/19
6393,5.60,CERTET,,66,9.7,,,,118,W,7/12/19
6394,1.20,XYLSEE,,82,7,,,,118,W,7/12/19
6395,4.70,ASTGRA,,86,5.73,342,,,118,W,7/12/19
6396,3.50,ASTGRA,,90,6.06,,,,118,W,7/12/19
6397,7.10,ASTGRA,,96,6.79,,,,118,W,7/12/19
6398,3.40,ASTGRA,,98,7.92,,,,118,W,7/12/19
6399,2.50,CYDHET,,108,7.94,,,,118,W,7/12/19
6400,6.70,CORPAN,,106,7.94,346,,,118,W,7/12/19
6401,1.50,FORSPI,,106,7.94,,,,118,W,7/12/19
6402,3.60,ASTGRA,,114,7.72,,,,118,W,7/12/19
6403,1.30,TETVOL,,116,7.74,,,,118,W,7/12/19
6404,2.10,ROUGLA,,126,9.02,,,,118,W,7/12/19
6405,3.60,CERTET,,128,10.92,,,,118,W,7/12/19
6406,3.30,ASTGRA,,136,12.57,,,,118,W,7/12/19
6407,3.60,ASTGRA,,138,12.9,,,,118,W,7/12/19
6408,1.30,FORSPI,,138,12.9,,,,118,W,7/12/19
6409,3.00,ASTGRA,,136,11.8,,,,118,W,7/12/19
6410,2.10,BROALI,,132,8.5,,,,118,W,7/12/19
6411,2.60,CYDHET,,120,10.15,,,,118,W,7/12/19
6412,3.50,ASTGRA,,134,7.32,,,,118,W,7/12/19
6413,6.20,RANMON,,128,7.24,345,,,118,W,7/12/19
6414,8.50,CALCAN,,90,8.44,,,,118,W,7/12/19
6415,1.00,CASCOR,,106,4.78,,,,118,W,7/12/19
6416,1.00,BYTCAT,,120,3.06,,,,118,W,7/12/19
6417,4.40,ASTGRA,,132,1.45,,,,118,W,7/12/19
6418,4.70,ASTGRA,,56,1.31,,,,118,W,7/12/19
6419,1.00,EUGSAL,,68,2.66,,,,118,W,7/12/19
6420,4.90,ASTGRA,,40,4.63,,,,118,W,7/12/19
6421,1.20,ALLOCC,,58,4.55,,,,118,W,7/12/19
6422,4.70,CASSYL,,42,6.11,344,,,118,W,7/12/19
6423,3.50,,6422,,,,,,118,W,7/12/19
6424,1.90,,6422,,,,,,118,W,7/12/19
6425,1.50,,6422,,,,,,118,W,7/12/19
6426,3.10,,6422,,,,,,118,W,7/12/19
6427,1.00,,6422,,,,,,118,W,7/12/19
6428,2.00,,6422,,,,,,118,W,7/12/19
6429,1.50,LONMIM,,74,5.32,,,,118,W,7/12/19
