ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
8600,3.50,LONMIN,,44.00,13.00,"SW:42,15.29",,5623,130,W,7/24/19
8601,1.90,FORSPI,,42.00,13.16,Dotted liana,,,130,W,7/24/19
8602,6.40,TETVOL,,52.00,11.79,,,5625,130,W,7/24/19
8603,1.50,,,48.00,12.06,Green spotted liana,,,130,W,7/24/19
8604,11.90,LONMIN,,52.00,11.46,Tall tree,,5633,130,W,7/24/19
8605,1.90,,,52.00,1.79,Liana,,5631,130,W,7/24/19
8606,2.40,ARRPAT,,60.00,9.38,Rough liana,,,130,W,7/24/19
8607,2.20,ARRPAT,,64.00,10.60,"Liana, same as 8493",,5638,130,W,7/24/19
8608,1.80,TETVOL,,66.00,9.98,,,5641,130,W,7/24/19
8609,3.40,CYDHET,,82.00,8.61,,,5645,130,W,7/24/19
8610,7.80,LONMIN,,86.00,8.96,,0,5651,130,W,7/24/19
8611,1.80,CYDHET,,80.00,8.27,,,5648,130,W,7/24/19
8612,1.70,CYDHET,,82.00,8.54,Striped liana,,,130,W,7/24/19
8613,5.30,CYDHET,,86.00,8.56,Striped liana,,5652,130,W,7/24/19
8614,2.00,ARRPAT,,94.00,9.13,,,5654,130,W,7/24/19
8615,1.70,CYDDIV,,84.00,9.12,,,5653,130,W,7/24/19
8616,1.30,CYDDIV,,88.00,8.16,,,5656,130,W,7/24/19
8617,7.20,LONMIN,,100.00,7.81,,,5658,130,W,7/24/19
8618,1.50,CYDDIV,,104.00,7.70,Rough liana,,5661,130,W,7/24/19
8619,4.90,LONMIN,,114.00,9.05,Minimiflorus,,5666,130,W,7/24/19
8620,1.90,LONMIN,,118.00,9.53,Minimiflorus,,5669,130,W,7/24/19
8621,2.40,LONMIN,,124.00,9.19,LONMIN,,5672,130,W,7/24/19
8622,4.40,LONMIN,,132.00,11.62,LONMIN,0,5675,130,W,7/24/19
8623,1.60,FORSPI,,132.00,11.73,Dotted liana,,"5,676.00",130,W,7/24/19
8624,2.00,CYDHET,,134.00,11.69,Striped liana,,5681,130,W,7/24/19
8625,2.10,CYDHET,,132.00,8.60,Striped liana,,,130,W,7/24/19
8626,4.00,XYLSEE,,122.00,6.75,,,,130,W,7/24/19
8627,4.10,LONMIN,,130.00,5.42,,,,130,W,7/24/19
8628,2.00,SEMMEX,,126.00,5.43,,,,130,W,7/24/19
8629,2.10,LONMIN,,132.00,4.60,,,,130,W,7/24/19
8630,6.30,,8631,,,,,,130,W,7/24/19
8631,6.70,LONMIN,,126.00,13.71,,,,130,W,7/24/19
8632,1.40,CYDHET,,112,4.20,Striped liana,,,130,W,7/24/19
8633,1.20,CYDDIV,,120,3.81,Rough liana,,,130,W,7/24/19
8634,1.90,CYDHET,,128,2.93,Striped liana,,,130,W,7/24/19
8635,6.20,LONMIN,,104,3.41,,,,130,W,7/24/19
8636,3.50,LONMIN,,114,4.85,Dying,,,130,W,7/24/19
8637,3.40,CYDHET,,110,3.27,Striped liana,,,130,W,7/24/19
8638,5.20,TABOCH,,90,1.98,,,,130,W,7/24/19
8639,3.50,LONMIN,,48,0.82,,,5343,130,W,7/24/19
8640,2.80,CYDHET,,334,0.74,Striped liana,,5359,130,W,7/24/19
8641,2.20,LONMIN,,52,2.95,,,,130,W,7/24/19
8642,2.20,LONMIN,,56,6.55,,,,130,W,7/24/19
8643,2.60,LONMIN,,76,8.70,,,,130,W,7/24/19
8644,1.70,CYDHET,,40,7.23,Striped liana,,,130,W,7/24/19
8645,8.90,LONMIN,,56,8.92,,,,130,W,7/24/19
8646,1.90,,,54,10.23,Green spotted liana,,,130,W,7/24/19
8647,5.00,GUEMAC,,54,10.40,,,,130,W,7/24/19
8648,3.90,,8647,,,,,,130,W,7/24/19
8649,2.60,ARRPAT,,54.00,10.95,,,5635,130,W,7/24/19
8650,4.20,LONMIN,,80.00,7.92,,,,130,W,7/24/19
8651,4.10,LONMIN,,86.00,6.62,,,,130,W,7/24/19
8652,1.90,LONMIN,,94.00,7.02,,,,130,W,7/24/19
8653,1.80,CYDHET,,92.00,5.31,Striped liana,,,130,W,7/24/19
8654,9.70,LONMIN,,80.00,4.68,,,,130,W,7/24/19
8655,1.70,LONMIN,,68.00,3.97,,,,130,W,7/24/19
8656,2.00,CYDDIV,,68.00,3.97,Green spotted liana,,,130,W,7/24/19
8657,1.20,FORSPI,,134.00,11.93,"Dotted liana; NW:134,12.60",,5683,130,N,7/25/19
8658,3.20,LONMIN,,140.00,11.70,,,5685,130,N,7/25/19
8659,1.80,MACUNG,,140.00,11.70,Rough liana,,5686,130,N,7/25/19
8660,1.30,SEMMEX,,130.00,10.81,,,5677,130,N,7/25/19
8661,1.50,,8660,,,,,5678,130,N,7/25/19
8662,2.30,LONMIN,,134.00,12.36,,,5684,130,N,7/25/19
8663,2.80,CYDHET,,140.00,10.09,Striped liana,,,130,N,7/25/19
8664,2.00,CYDHET,,148.00,10.43,Striped liana,,,130,N,7/25/19
8665,3.10,LONMIN,,146.00,9.09,,,,130,N,7/25/19
8666,1.20,,8665,,,,,,130,N,7/25/19
8667,1.10,CYDHET,,140.00,10.04,Striped liana,,,130,N,7/25/19
8668,1.70,CYDHET,,160.00,9.15,Striped liana,,,130,N,7/25/19
8669,1.90,LONMIN,,150.00,8.81,,,,130,N,7/25/19
8670,3.20,ACACOL,,160.00,10.25,,,,130,N,7/25/19
8671,5.40,LONMIN,,162.00,10.54,,,,130,N,7/25/19
8672,7.80,LONMIN,,182.00,8.59,,,,130,N,7/25/19
8673,1.80,MACUNG,,176.00,8.11,Rough liana,,5390,130,N,7/25/19
8674,2.60,MACUNG,,182.00,8.11,Rough liana,,5391,130,N,7/25/19
8675,5.20,GENAME,,192.00,8.63,,,5388,130,N,7/25/19
8676,1.50,LONMIN,,190.00,7.25,,,5383,130,N,7/25/19
8677,2.40,TABOCH,,192.00,7.95,,,5377,130,N,7/25/19
8678,1.70,CYDHET,,182.00,6.78,Striped liana,,5381,130,N,7/25/19
8679,2.60,LONMIN,,176.00,5.74,,,5371,130,N,7/25/19
8680,1.30,XYLSEE,,200.00,5.90,Lots of MS tags,,5379,130,N,7/25/19
8681,31.20,BURSIM,,204.00,7.06,,,,130,N,7/25/19
8682,5.10,,,230.00,4.98,Rough liana,,,130,N,7/25/19
8683,3.80,CYDHET,,226.00,5.06,Striped liana,,,130,N,7/25/19
8684,3.00,CYDHET,,218.00,5.54,Striped liana,,,130,N,7/25/19
8685,2.30,CYDDIV,,220.00,5.81,Striped liana,,,130,N,7/25/19
8686,2.60,CYDDIV,,226.00,5.85,,,,130,N,7/25/19
8687,2.30,CYDDIV,,218.00,5.84,Rough liana,,,130,N,7/25/19
8688,17.30,EXOMEX,,218.00,5.84,,,,130,N,7/25/19
8689,2.20,CYDDIV,,230.00,8.05,Rough liana,,,130,N,7/25/19
8690,3.80,CYDDIV,,226.00,8.30,Rough liana,,,130,N,7/25/19
8691,2.20,ASTGRA,,232.00,6.58,,,,130,N,7/25/19
8692,1.70,,,222.00,5.05,Green liana,,,130,N,7/25/19
8693,1.60,TABOCH,,236.00,3.52,,,,130,N,7/25/19
8694,1.70,LONMIN,,218.00,3.85,,,,130,N,7/25/19
8695,1.70,CYDDIV,,218.00,3.85,Liana,,,130,N,7/25/19
8696,11.70,EXOMEX,,21.00,4.29,,,,130,N,7/25/19
8697,33.80,MACTIN,,214.00,2.93,"Light brown bark, lenticels",0,5389,130,N,7/25/19
8698,3.30,CTDDIV,,204.00,2.86,Rough liana,,5366,130,N,7/25/19
8699,1.00,ARROAT,,266.00,2.70,Rough liana,,,130,N,7/25/19
8700,2.30,CYDHET,,270.00,2.30,Striped liana,,,130,N,7/25/19
8701,1.70,CYDHET,,282.00,0.77,Striped liana,,,130,N,7/25/19
8702,1.80,CYDHET,,282.00,0.77,Striped liana,,,130,N,7/25/19
8703,2.50,LONMIN,,284.00,0.58,,,5351,130,N,7/25/19
8704,9.70,CHOSPI,,306.00,0.69,,,5353,130,N,7/25/19
8705,5.70,CYDDHET,,202.00,2.74,Striped liana,,5361,130,N,7/25/19
8706,1.50,XYLSEE,,220.00,1.22,Rough liana,,5357,130,N,7/25/19
8707,5.50,CYDHET,,256.00,1.80,Striped liana,,,130,N,7/25/19
8708,3.90,XYLSEE,,220.00,1.22,,,5356,130,N,7/25/19
8709,3.50,CYDHET,,242.00,0.80,Striped liana,,5355,130,N,7/25/19
8710,3.20,CYDHET,,124.00,1.51,Striped liana,,,130,N,7/25/19
8711,2.00,CYDHET,,146.00,2.10,Striped liana,,,130,N,7/25/19
8712,8.20,TABOCH,,160.00,2.39,,,,130,N,7/25/19
8713,1.40,LONMIN,,168.00,1.75,,,,130,N,7/25/19
8714,1.00,,8713,,,,,,130,N,7/25/19
8715,5.30,PISACU,,142.00,3.56,,,,130,N,7/25/19
8716,3.10,CYDHET,,172.00,3.75,Striped liana,,,130,N,7/25/19
8717,1.90,CYDHET,,148.00,4.01,Striped liana,,,130,N,7/25/19
8718,6.30,,,,,,,5367,130,N,7/25/19
8719,1.30,ARRPAT,,138.00,5.22,Green spotted liana,,,130,N,7/25/19
8720,2.30,CYDHET,,152.00,5.41,Striped liana,,,130,N,7/25/19
8721,1.30,LONMIN,,168.00,8.66,,,,130,N,7/25/19
8722,1.50,CYDHET,,136.00,9.78,Striped liana,,,130,N,7/25/19
8723,3.30,LONMIN,,186.00,4.60,,,5368,130,N,7/25/19
8724,3.90,LONMIN,,176.00,6.89,,,,130,N,7/25/19
8725,3.20,CYDDIV,,232.00,8.53,"Liana; NE:232,14.24",,,130,E,7/25/19
8726,1.20,CYDDIV,,234.00,13.57,Rough liana,,,130,E,7/25/19
8727,5.10,CYDHET,,240.00,12.78,Striped liana,,,130,E,7/25/19
8728,1.50,CYDHET,,236.00,12.96,Striped liana,,,130,E,7/25/19
8729,1.60,CYDDIV,,236.00,12.75,Rough liana,,,130,E,7/25/19
8730,10.80,SAPPAL,,244.00,12.39,,,,130,E,7/25/19
8731,1.60,CTDDIV,,246.00,11.56,Rough liana,,,130,E,7/25/19
8732,5.30,XYLSEE,,246.00,11.56,,,,130,E,7/25/19
8733,1.10,CAPIND,,252.00,10.86,,,,130,E,7/25/19
8734,1.40,ERYHAV,,250.00,9.66,,,,130,E,7/25/19
8735,3.20,XYLSEE,,252.00,9.22,,,,130,E,7/25/19
8736,5.20,TABOCH,,276.00,8.22,,,,130,E,7/25/19
8737,3.00,CYDHET,,278.00,7.70,Striped liana,,,130,E,7/25/19
8738,2.10,CYDHET,,272.00,9.44,Striped liana,,,130,E,7/25/19
8739,1.80,PAUCUR,,272.00,10.57,,,,130,E,7/25/19
8740,9.00,,8741,,,"Dead branch has nail, dbh 12.7",,,130,E,7/25/19
8741,1.30,CHOSPI,,274.00,11.11,Striped liana,,5836,130,E,7/25/19
8742,1.50,CYDDIV,,274.00,9.93,Rough liana,,,130,E,7/25/19
8743,3.20,TABOCH,,284.00,10.43,,,,130,E,7/25/19
8744,3.80,CYDHET,,292.00,8.93,Striped liana,,,130,E,7/25/19
8745,6.20,ASTGRA,,298.00,9.51,,,,130,E,7/25/19
8746,51.10,BURSIM,,302.00,9.92,,,,130,E,7/25/19
8747,3.60,TABOCH,,308.00,10.37,,,,130,E,7/25/19
8748,2.70,CYDHET,,300.00,9.75,Striped liana,,,130,E,7/25/19
8749,2.70,CYDHET,,306.00,9.72,Striped liana,,,130,E,7/25/19
8750,3.70,PAUCUR,,302.00,9.92,Liana,,,130,E,7/25/19
8751,4.20,CYDHET,,306.00,9.49,Liana,,,130,E,7/25/19
8752,2.40,CYDHET,,306.00,8.60,Liana,,,130,E,7/25/19
8753,1.80,ARRPAT,,314.00,9.93,Green spotted liana,,,130,E,7/25/19
8754,4.00,CYDHET,,296.00,9.05,Striped liana,,,130,E,7/25/19
8755,7.50,ASTGRA,,310.00,8.69,,,,130,E,7/25/19
8756,1.30,ARRPAT,,312.00,3.50,Green spotted liana,,,130,E,7/25/19
8757,1.70,CYDHET,,298.00,2.13,Striped liana,,,130,E,7/25/19
8758,7.30,XYLSEE,,322.00,1.73,,,5345,130,E,7/25/19
8759,3.40,CYDHET,,290.00,1.72,Striped liana,,5350,130,E,7/25/19
8760,3.60,CYDHET,,274.00,1.97,Striped liana,,,130,E,7/25/19
8761,4.30,ALLOCC,,264.00,380.00,,,,130,E,7/25/19
8762,1.60,,8761,,,,,,130,E,7/25/19
8763,1.30,,8761,,,,,,130,E,7/25/19
8764,5.60,MANCHI,,272.00,5.42,,,,130,E,7/25/19
8765,2.20,CYDHET,,282.00,6.53,Striped liana,,,130,E,7/25/19
8766,2.40,CYDHET,,276.00,4.42,Striped liana,,,130,E,7/25/19
8767,9.10,CAPIND,,248.00,6.41,,,,130,E,7/25/19
8768,1.70,CYDHET,,252.00,7.67,Striped liana,,,130,E,7/25/19
8769,2.70,XYLSEE,,246.00,8.35,,,,130,E,7/25/19
8770,1.70,CAPIND,,252.00,8.27,,,,130,E,7/25/19
8771,1.10,ARRPAT,,242.00,8.77,Rough liana,,,130,E,7/25/19
