ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
8325,9.00,THODEC,,44.00,11.92,"SW:40,13.46",,,128,W,7/21/19
8326,8.50,,8325,,,,,,128,W,7/21/19
8327,4.40,TETVOL,,56.00,9.53,,,,128,W,7/21/19
8328,1.60,PETVOL,,52.00,10.55,,,,128,W,7/21/19
8329,9.20,LONMIN,,72.00,9.38,,,,128,W,7/21/19
8330,5.10,LONMIN,,116.00,10.97,,,,128,W,7/21/19
8331,1.70,MACUNG,,116.00,10.97,Rough liana,,,128,W,7/21/19
8332,3.30,RANMON,,126.00,11.11,,,,128,W,7/21/19
8333,9.20,BURSIM,,118.00,8.00,,,,128,W,7/21/19
8334,3.50,XYLSEE,,76.00,5.09,,,,128,W,7/21/19
8335,9.40,LONMIN,,80.00,5.75,,,,128,W,7/21/19
8336,2.70,MANCHI,,84.00,3.07,,,,128,W,7/21/19
8337,5.50,CAPIND,,70.00,2.07,,,,128,W,7/21/19
8338,4.70,XYLSEE,,64.00,7.54,,,,128,W,7/21/19
8339,12.80,MANCHI,,178.00,8.53,"NW:124,12.23",,,128,N,7/21/19
8340,3.00,TETVOL,,178.00,8.53,,,,128,N,7/21/19
8341,2.80,GUAGLA,,182.00,8.36,Unfolding terminal leaf bud,,,128,N,7/21/19
8342,2.30,OCOVER,,190.00,9.25,,,,128,N,7/21/19
8343,26.60,GUEMAC,,210.00,11.20,,0,,128,N,7/21/19
8344,21.40,,8343,,,,,,128,N,7/21/19
8345,1.90,CAPIND,,218.00,12.33,,,,128,N,7/21/19
8346,6.00,SEMMEX,,212.00,7.92,,,,128,N,7/21/19
8347,4.30,CASCOR,,208.00,7.40,,,,128,N,7/21/19
8348,24.70,LONFEL,,204.00,7.13,,,,128,N,7/21/19
8349,7.00,MANCHI,,216.00,7.06,,,,128,N,7/21/19
8350,2.80,,8349,,,,,,128,N,7/21/19
8351,2.20,TETVOL,,192.00,5.61,,,,128,N,7/21/19
8352,42.30,CALCAN,,218.00,1.24,,,,128,N,7/21/19
8353,7.60,,8352,,,,,,128,N,7/21/19
8354,2.90,XYLSEE,,180.00,0.63,Liana,,,128,N,7/21/19
8355,40.20,GUAULM,,134.00,5.67,,,,128,N,7/21/19
8356,4.00,GUEMAC,,132.00,5.98,,,,128,N,7/21/19
8357,5.30,,8355,,,,,,128,N,7/21/19
8358,2.50,,8355,,,,,,128,N,7/21/19
8359,1.10,,8356,,,,,,128,N,7/21/19
8360,43.50,SPOMOM,,128.00,6.87,Spondias mombin,19,,128,N,7/21/19
8361,2.70,XYLSEE,,132.00,10.06,Tag in west,,,128,N,7/21/19
8362,1.00,OCOVER,,134.00,7.00,,,,128,N,7/21/19
8363,1.10,XYLSEE,,150.00,6.27,,,,128,N,7/21/19
8364,1.30,CAPIND,,98.00,1.36,In center of plot,,,128,N,7/21/19
8365,23.10,CALCAN,,234.00,9.73,"NE:222,13.64",,,128,E,7/21/19
8366,9.20,,8365,,,,,,128,E,7/21/19
8367,4.40,CASSYL,,238.00,8.29,"Voucher, serrated compound leaves",,,128,E,7/21/19
8368,5.50,ASTGRA,,242.00,7.96,,,,128,E,7/21/19
8369,8.60,MACBIO,,234.00,7.19,,,,128,E,7/21/19
8370,2.20,OCOVER,,234.00,7.24,,,,128,E,7/21/19
8371,20.50,GUEMAC,,288.00,9.46,,0,,128,E,7/21/19
8372,13.10,,8371,,,,,,128,E,7/21/19
8373,7.60,,8371,,,,,,128,E,7/21/19
8374,6.20,,8371,,,,,,128,E,7/21/19
8375,2.10,CAPIND,,302.00,10.14,,,,128,E,7/21/19
8376,1.10,CAPIND,,314.00,11.78,,,,128,E,7/21/19
8377,2.40,CAPIND,,316.00,12.20,,,,128,E,7/21/19
8378,2.50,,8377,,,,,,128,E,7/21/19
8379,1.30,,8377,,,,,,128,E,7/21/19
8380,1.10,ROUGLA,,318.00,11.35,,,,128,E,7/21/19
8381,3.50,MACBIO,,318.00,3.61,,,,128,E,7/21/19
8382,2.60,DIONIC,,284.00,1.22,,,,128,E,7/21/19
8383,3.20,SEMMEX,,262.00,3.51,,,,128,E,7/21/19
8384,2.00,,8383,,,,,,128,E,7/21/19
8385,15.00,SEMMEX,,264.00,3.09,,,,128,E,7/21/19
