ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
7691,3.00,RANTHU,,60.00,14.11,"SW:56,14.49",,,125,W,7/16/19
7692,4.10,RANMON,,64.00,12.52,,,,125,W,7/16/19
7693,4.10,,7692,,,,,,125,W,7/16/19
7694,3.10,RANMON,,66.00,12.74,,,,125,W,7/16/19
7695,8.00,SEMMEX,,70.00,12.20,,,,125,W,7/16/19
7696,1.80,,7695,,,,,,125,W,7/16/19
7697,7.00,RANTHU,,64.00,11.71,,,,125,W,7/16/19
7698,35.10,COCVIT,,62.00,11.57,,0,,125,W,7/16/19
7699,1.30,ALBEDU,,76.00,10.50,,,,125,W,7/16/19
7700,1.20,ALBEDU,,74.00,10.15,,,,125,W,7/16/19
7701,1.70,XYLSEE,,80.00,10.39,,,,125,W,7/16/19
7702,7.50,SEMMEX,,74.00,11.30,,,,125,W,7/16/19
7703,2.40,,7702,,,,,,125,W,7/16/19
7704,4.10,ASTGRA,,80.00,11.66,,,,125,W,7/16/19
7705,2.60,ALBEDU,,90.00,10.49,,,,125,W,7/16/19
7706,3.40,,7705,,,,,,125,W,7/16/19
7707,1.30,,7705,,,,,,125,W,7/16/19
7708,1.20,,7705,,,,,,125,W,7/16/19
7709,2.10,ALBEDU,,92.00,10.68,,,,125,W,7/16/19
7710,1.20,,,82.00,11.08,Dotted liana,,,125,W,7/16/19
7711,1.70,,,92.00,10.39,Striped liana,,,125,W,7/16/19
7712,2.80,XYLSEE,,96.00,10.08,,,,125,W,7/16/19
7713,2.30,RANMON,,94.00,10.80,,,,125,W,7/16/19
7714,2.30,,7713,,,,,,125,W,7/16/19
7715,22.30,ASTGRA,,94.00,9.93,,,,125,W,7/16/19
7716,1.80,ALBEDU,,98.00,9.09,,,,125,W,7/16/19
7717,1.30,,7716,,,,,,125,W,7/16/19
7718,1.20,,7716,,,,,,125,W,7/16/19
7719,1.60,,7716,,,,,,125,W,7/16/19
7720,1.10,,7716,,,,,,125,W,7/16/19
7721,1.40,,7716,,,,,,125,W,7/16/19
7722,1.30,PSYHOR,,104,9.83,Same as 7302,,,125,W,7/16/19
7723,2.60,ALBEDU,,118.00,9.49,,,,125,W,7/16/19
7724,3.90,XYLSEE,,128.00,14.86,,,,125,W,7/16/19
7725,22.40,LONMIN,,120.00,10.77,,,,125,W,7/16/19
7726,5.30,SERSCH,,132.00,12.51,Pyramid liana,,,125,W,7/16/19
7727,7.10,XYLSEE,,124.00,11.26,,,,125,W,7/16/19
7728,1.30,LONMIN,,128.00,11.25,,,,125,W,7/16/19
7729,27.50,CALCAN,,126.00,9.92,,,,125,W,7/16/19
7730,1.80,,7729,,,,,,125,W,7/16/19
7731,5.60,,7729,,,,,,125,W,7/16/19
7732,5.70,,7729,,,,,,125,W,7/16/19
7733,49.10,GUAULM,,132.00,9.79,,,,125,W,7/16/19
7734,2.30,,7733,,,,,,125,W,7/16/19
7735,1.20,LONMIN,,124.00,9.99,,,,125,W,7/16/19
7736,3.20,ALBEDU,,126.00,9.29,,,,125,W,7/16/19
7737,2.60,,7736,,,,,,125,W,7/16/19
7738,1.60,,7736,,,,,,125,W,7/16/19
7739,1.40,CAPFRO,,126.00,8.51,,,,125,W,7/16/19
7740,2.20,CAPIND,,128.00,7.48,,,,125,W,7/16/19
7741,2.00,,7740,,,,,,125,W,7/16/19
7742,1.50,PAUCUR,,112.00,7.10,,,,125,W,7/16/19
7743,1.70,MANCHI,,126.00,6.31,,,,125,W,7/16/19
7744,1.00,CAPVER,,110.00,5.44,"Voucher, capparis like",,,125,W,7/16/19
7745,6.30,GUEMAC,,106.00,3.69,,,,125,W,7/16/19
7746,5.50,,7745,,,,,,125,W,7/16/19
7747,4.80,,7745,,,,,,125,W,7/16/19
7748,1.70,,7745,,,,,,125,W,7/16/19
7749,1.60,SEMMEX,,102.00,3.69,,,,125,W,7/16/19
7750,5.70,,7745,,,,,,125,W,7/16/19
7751,7.40,,7745,,,,,,125,W,7/16/19
7752,1.90,SEMMEX,,108.00,1.77,,,,125,W,7/16/19
7753,1.20,CORALI,,66.00,13.66,Voucher,,,125,W,7/16/19
7754,1.40,,7753,,,,,,125,W,7/16/19
7755,30.90,CALCAN,,66.00,3.91,,,,125,W,7/16/19
7756,22.30,CALCAN,,7.00,4.95,,,,125,W,7/16/19
7757,2.60,,7756,,,,,,125,W,7/16/19
7758,1.10,SEMMEX,,86.00,5.66,,,,125,W,7/16/19
7759,8.50,SCHSCH,,70.00,7.31,Voucher,,,125,W,7/16/19
7760,6.30,ALBEDU,,60.00,7.31,,,,125,W,7/16/19
7761,4.50,,7760,,,,,,125,W,7/16/19
7762,6.30,,7760,,,,,,125,W,7/16/19
7763,6.00,,7760,,,,,,125,W,7/16/19
7764,1.70,SEMMEX,,74.00,8.67,,,,125,W,7/16/19
7765,1.10,ALBEDU,,66.00,9.25,,,,125,W,7/16/19
7766,4.10,SEMMEX,,56.00,10.72,,,,125,W,7/16/19
7767,1.80,,7766,,,,,,125,W,7/16/19
7768,1.90,,7766,,,,,,125,W,7/16/19
7769,12.30,BURSIM,,84.00,8.60,,,,125,W,7/16/19
7770,2.90,RANMON,,84.00,9.00,,,,125,W,7/16/19
7771,1.20,SEMMEX,,102.00,6.08,,,,125,W,7/16/19
7772,1.00,BURSIM,,110.00,8.50,,,,125,W,7/16/19
7773,1.20,CAPIND,,86.00,5.10,Next to 7758,,,125,W,7/16/19
7774,6.30,ALLOCC,,138.00,15.02,"NW:134,15.74",,,125,N,7/17/19
7775,1.50,FORSPI,,146.00,12.25,Dotted liana,,,125,N,7/17/19
7776,1.70,ALLOCC,,154.00,10.09,,,,125,N,7/17/19
7777,1.80,CASCOR,,158.00,12.21,,,,125,N,7/17/19
7778,2.30,ACACOL,,152.00,10.54,,,,125,N,7/17/19
7779,2.80,ACACOL,,154.00,11.68,,,,125,N,7/17/19
7780,2.60,CAPIND,,172.00,10.15,,,,125,N,7/17/19
7781,2.10,,7780,,,,,,125,N,7/17/19
7782,1.40,,7780,,,,,,125,N,7/17/19
7783,1.50,XYLSEE,,174.00,10.19,,,,125,N,7/17/19
7784,2.00,XYLSEE,,172.00,8.55,,,,125,N,7/17/19
7785,8.30,SEMMEX,,190.00,9.10,,,,125,N,7/17/19
7786,4.90,,7785,,,,,,125,N,7/17/19
7787,4.70,,7785,,,,,,125,N,7/17/19
7788,2.80,,7785,,,,,,125,N,7/17/19
7789,7.70,,7785,,,,,,125,N,7/17/19
7790,4.60,,7785,,,,,,125,N,7/17/19
7791,1.30,CYDDIV,,192.00,8.98,Dotted liana,,,125,N,7/17/19
7792,1.60,CAPIND,,180.00,10.48,,,,125,N,7/17/19
7793,1.20,,7792,,,,,,125,N,7/17/19
7794,5.30,SEMMEX,,188.00,9.51,,,,125,N,7/17/19
7795,1.40,FORSPI,,188.00,9.55,Dotted liana,,,125,N,7/17/19
7796,1.60,CYDDIV,,184.00,10.09,Dotted liana,,,125,N,7/17/19
7797,1.50,XYLSEE,,196.00,9.11,,,,125,N,7/17/19
7798,2.10,CYDDIV,,200.00,9.56,Rough liana,,,125,N,7/17/19
7799,4.60,RANTHU,,196.00,8.24,,,,125,N,7/17/19
7800,3.90,ALBEDU,,210.00,9.18,,,,125,N,7/17/19
7801,3.70,CAPIND,,218.00,12.71,,,,125,N,7/17/19
7802,3.10,,7801,,,,,,125,N,7/17/19
7803,1.60,,7801,,,,,,125,N,7/17/19
7804,2.10,,7801,,,,,,125,N,7/17/19
7805,3.40,CAPIND,,214.00,9.83,,,,125,N,7/17/19
7806,2.20,,7805,,,,,,125,N,7/17/19
7807,3.90,ALBEDU,,208.00,8.17,,,,125,N,7/17/19
7808,1.50,,7807,,,,,,125,N,7/17/19
7809,4.00,ALBEDU,,198.00,6.03,,,,125,N,7/17/19
7810,2.90,,7809,,,,,,125,N,7/17/19
7811,2.70,,7809,,,,,,125,N,7/17/19
7812,2.30,,7809,,,,,,125,N,7/17/19
7813,1.50,,7809,,,,,,125,N,7/17/19
7814,2.30,,7809,,,,,,125,N,7/17/19
7815,3.30,,7809,,,,,,125,N,7/17/19
7816,2.10,,7809,,,,,,125,N,7/17/19
7817,1.70,,7809,,,,,,125,N,7/17/19
