ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
7416,2.90,MANCHI,,90.00,12.18,"SW:64,15.33",,,124,W,7/16/19
7417,1.90,ROUGLA,,104.00,11.90,,,,124,W,7/16/19
7418,6.70,CASCOR,,106.00,10.90,,,,124,W,7/16/19
7419,7.70,ALBADI,,110.00,12.69,,,,124,W,7/16/19
7420,1.20,ROUGLA,,104.00,11.21,,,,124,W,7/16/19
7421,4.40,SEBPAV,,114.00,11.09,,,,124,W,7/16/19
7422,4.40,CAPIND,,110.00,12.30,,,,124,W,7/16/19
7423,6.80,CALCAN,,108.00,14.00,,,,124,W,7/16/19
7424,3.90,ALBEDU,,118.00,13.13,,,,124,W,7/16/19
7425,2.50,ALBEDU,,122.00,14.64,,,,124,W,7/16/19
7426,13.30,CALCAN,,128.00,13.64,,,,124,W,7/16/19
7427,34.60,BURSIM,,130.00,12.96,,,,124,W,7/16/19
7428,2.60,ALBEDU,,130.00,14.26,,,,124,W,7/16/19
7429,1.50,,7428,,,,,,124,W,7/16/19
7430,1.70,,7428,,,,,,124,W,7/16/19
7431,2.30,ALBEDU,,132.00,14.95,,,,124,W,7/16/19
7432,8.60,CAPIND,,132.00,15.45,,,,124,W,7/16/19
7433,2.20,,7432,,,,,,124,W,7/16/19
7434,2.40,,7432,,,,,,124,W,7/16/19
7435,8.50,,7432,,,,,,124,W,7/16/19
7436,5.50,,7432,,,,,,124,W,7/16/19
7437,2.90,,7432,,,,,,124,W,7/16/19
7438,5.80,,7432,,,,,,124,W,7/16/19
7439,3.90,,7432,,,,,,124,W,7/16/19
7440,3.50,,7432,,,,,,124,W,7/16/19
7441,3.40,,7428,,,,,,124,W,7/16/19
7442,5.20,BURSIM,,138.00,15.95,,,,124,W,7/16/19
7443,3.10,FORSPI,,144.00,19.30,Dotted liana,,,124,W,7/16/19
7444,8.00,CHOSPI,,,20.00,,,,124,W,7/16/19
7445,3.60,,7444,,,,,,124,W,7/16/19
7446,2.80,,7444,,,,,,124,W,7/16/19
7447,1.40,ALBEDU,,144.00,17.00,,,,124,W,7/16/19
7448,1.70,ACACOL,,142.00,15.80,,,,124,W,7/16/19
7449,3.50,ACACOL,,146.00,15.80,,,,124,W,7/16/19
7450,1.30,ALBEDU,,146.00,15.80,,,,124,W,7/16/19
7451,1.00,ALBEDU,,140.00,14.00,,,,124,W,7/16/19
7452,2.10,ALBEDU,,140.00,13.80,,,,124,W,7/16/19
7453,1.10,ALBEDU,,144.00,12.87,,,,124,W,7/16/19
7454,1.30,,7453,,,,,,124,W,7/16/19
7455,9.90,SEMMEX,,132.00,12.60,,,,124,W,7/16/19
7456,1.40,TETVOL,,128.00,12.26,,,,124,W,7/16/19
7457,1.20,PSYHOR,,138.00,12.30,Same as 7302,,,124,W,7/16/19
7458,4.10,ALBEDU,,142.00,11.56,,,,124,W,7/16/19
7459,2.00,,7458,,,,,,124,W,7/16/19
7460,1.30,,7458,,,,,,124,W,7/16/19
7461,1.90,,7458,,,,,,124,W,7/16/19
7462,2.20,XYLSEE,,138.00,10.65,,,,124,W,7/16/19
7463,5.10,BURSIM,,138.00,9.92,,,,124,W,7/16/19
7464,1.80,TETVOL,,142.00,10.30,,,,124,W,7/16/19
7465,3.00,CASPRA,,134.00,8.85,Voucher,,,124,W,7/16/19
7466,1.10,,7465,,,,,,124,W,7/16/19
7467,3.40,SEMMEX,,122.00,6.61,,,,124,W,7/16/19
7468,3.30,,7467,,,,,,124,W,7/16/19
7469,1.50,,7467,,,,,,124,W,7/16/19
7470,1.80,,7467,,,,,,124,W,7/16/19
7471,2.00,,7467,,,,,,124,W,7/16/19
7472,5.70,GUEMAC,,118.00,6.61,"Main stem dead, main stem dbh  16.6",0,,124,W,7/16/19
7473,4.10,SEMMEX,,126.00,6.03,,,,124,W,7/16/19
7474,2.20,,7473,,,,,,124,W,7/16/19
7475,1.50,TETVOL,,132.00,4.89,,,,124,W,7/16/19
7476,1.10,ALBEDU,,162.00,3.60,,,,124,W,7/16/19
7477,1.80,ALBEDU,,148.00,,,,,124,W,7/16/19
7478,1.30,,7477,,,,,,124,W,7/16/19
7479,3.50,ALBEDU,,120.00,4.34,,,,124,W,7/16/19
7480,7.60,ALBEDU,,108.00,5.63,,,,124,W,7/16/19
7481,2.10,,7480,,,,,,124,W,7/16/19
7482,2.10,,7480,,,,,,124,W,7/16/19
7483,2.80,,7480,,,,,,124,W,7/16/19
7484,2.40,,7480,,,,,,124,W,7/16/19
7485,1.40,,7480,,,,,,124,W,7/16/19
7486,1.30,,7480,,,,,,124,W,7/16/19
7487,1.90,HIRREC,,86.00,3.66,New liana,,,124,W,7/16/19
7488,4.80,ALBEDU,,108.00,3.66,,,,124,W,7/16/19
7489,1.80,,7488,,,,,,124,W,7/16/19
7490,5.60,,7488,,,,,,124,W,7/16/19
7491,5.80,,7488,,,,,,124,W,7/16/19
7492,3.30,,7488,,,,,,124,W,7/16/19
7493,2.10,,7488,,,,,,124,W,7/16/19
7494,3.80,,7488,,,,,,124,W,7/16/19
7495,3.40,,7488,,,,,,124,W,7/16/19
7496,35.30,TABIMP,,84.00,1.02,,,,124,W,7/16/19
7497,6.00,SLOTER,,76.00,2.76,,,,124,W,7/16/19
7498,1.60,,7497,,,,,,124,W,7/16/19
7499,1.50,,7497,,,,,,124,W,7/16/19
7500,2.50,,7497,,,,,,124,W,7/16/19
7501,2.30,HIRREC,,84.00,3.65,New liana,,,124,W,7/16/19
7502,3.20,ALBEDU,,86.00,4.62,,,,124,W,7/16/19
7503,2.60,TETVOL,,82.00,5.79,,,,124,W,7/16/19
7504,4.80,CASCOR,,72.00,6.94,,,,124,W,7/16/19
7505,2.90,TETVOL,,80.00,6.80,,,,124,W,7/16/19
7506,1.70,TETVOL,,70.00,9.74,,,,124,W,7/16/19
7507,1.40,TETVOL,,78.00,9.97,,,,124,W,7/16/19
7508,1.90,TETVOL,,70.00,11.01,,,,124,W,7/16/19
7509,3.50,TETVOL,,68.00,11.02,,,,124,W,7/16/19
7510,7.70,SEMMEX,,74.00,10.71,,,,124,W,7/16/19
7511,2.60,OCOVER,,74.00,10.75,,,,124,W,7/16/19
7512,2.90,MANCHI,,80.00,9.42,,,,124,W,7/16/19
7513,5.50,ALBEDU,,78.00,7.95,,,,124,W,7/16/19
7514,3.90,,7513,,,,,,124,W,7/16/19
7515,3.30,,7513,,,,,,124,W,7/16/19
7516,2.10,,7513,,,,,,124,W,7/16/19
7517,1.40,,7513,,,,,,124,W,7/16/19
7518,1.50,,7513,,,,,,124,W,7/16/19
7519,1.20,,7513,,,,,,124,W,7/16/19
7520,1.30,TETVOL,,84.00,8.70,,,,124,W,7/16/19
7521,29.40,CALCAN,,96.00,6.97,,0,,124,W,7/16/19
7522,11.40,BURSIM,,106.00,5.85,,,,124,W,7/16/19
7523,5.90,MANCHI,,112.00,5.28,,,,124,W,7/16/19
7524,8.60,,7472,,,,,,124,W,7/16/19
7525,4.20,,7472,,,,,,124,W,7/16/19
7526,2.00,RANTHU,,116.00,6.99,,,,124,W,7/16/19
7527,1.30,ALBEDU,,106.00,6.39,,,,124,W,7/16/19
7528,1.80,ALBEDU,,102.00,8.21,,,,124,W,7/16/19
7529,1.40,,7528,,,,,,124,W,7/16/19
7530,9.00,CALCAN,,110.00,10.30,,,,124,W,7/16/19
7531,54.10,LICARB,,112.00,7.86,"Dying, Nail ID might not be right",14,,124,W,7/16/19
7532,4.20,ALBEDU,,106.00,10.30,,,,124,W,7/16/19
7533,2.60,TETVOL,,110.00,10.25,,,,124,W,7/16/19
