ID,DBH,SPP,MAIN,DEG,DIST,NOTES,NAIL,MS,PLOT,TRI,DATE
8137,3.40,SOLHAZ,,40.00,14.65,"SW:36,17.5",,,127,W,7/21/19
8138,1.00,LONMIN,,44.00,13.55,,,,127,W,7/21/19
8139,3.00,CASCOR,,46.00,13.53,,,,127,W,7/21/19
8140,5.50,SEMMEX,,52.00,12.23,,,,127,W,7/21/19
8142,9.40,GENAME,,56.00,11.57,Pole pruners,,,127,W,7/21/19
8143,2.90,CYDHET,,42.00,10.04,Striped liana,,,127,W,7/21/19
8144,1.20,PAUCUR,,48.00,9.30,,,,127,W,7/21/19
8145,2.20,CYDHET,,60.00,7.69,Striped liana,,,127,W,7/21/19
8146,1.50,TETVOL,,76.00,9.97,,,,127,W,7/21/19
8147,5.50,LONMIN,,94.00,8.68,Pole,,,127,W,7/21/19
8148,2.60,CYDHET,,122.00,9.42,Striped liana,,,127,W,7/21/19
8149,1.90,LONMIN,,110.00,9.08,,,,127,W,7/21/19
8150,1.20,,8149,,,,,,127,W,7/21/19
8151,1.50,CAPIND,,140.00,10.70,,,,127,W,7/21/19
8152,1.00,,,130.00,9.86,Striped liana,,,127,W,7/21/19
8153,23.40,CALCAN,,128.00,7.96,1.45m,,,127,W,7/21/19
8154,14.90,,8153,,,,,,127,W,7/21/19
8155,3.60,THODEC,,130.00,7.53,No leaves ,,,127,W,7/21/19
8156,2.40,SEMMEX,,122.00,6.53,,,,127,W,7/21/19
8157,2.40,SEMMEX,,106.00,7.12,,,,127,W,7/21/19
8158,1.70,,8157,,,,,,127,W,7/21/19
8159,1.70,ASTGRA,,106.00,7.82,,,,127,W,7/21/19
8162,5.90,THODEC,,94.00,5.46,,,,127,W,7/21/19
8163,7.60,CAPIND,,134.00,5.19,,,,127,W,7/21/19
8164,2.00,,8163,,,,,,127,W,7/21/19
8165,42.60,BURSIM,,118.00,3.16,,,,127,W,7/21/19
8166,19.00,THODEC,,110.00,3.06,,,,127,W,7/21/19
8167,3.80,,8166,,,,,,127,W,7/21/19
8168,2.50,XYLSEE,,166.00,0.90,,,,127,W,7/21/19
8169,2.50,TETVOL,,92.00,3.27,,,,127,W,7/21/19
8170,8.40,XYLSEE,,94.00,3.27,,,,127,W,7/21/19
8171,5.70,MANCHI,,74.00,4.14,,,,127,W,7/21/19
8172,10.60,MANCHI,,78.00,2.43,,,,127,W,7/21/19
8173,1.50,TETVOL,,78.00,2.40,,,,127,W,7/21/19
8174,2.90,XYLSEE,,62.00,2.46,,,,127,W,7/21/19
8175,3.80,CYDHET,,54.00,3.15,Striped liana,,,127,W,7/21/19
8176,3.80,CAPIND,,40.00,2.49,,,,127,W,7/21/19
8177,2.90,,8176,,,,,,127,W,7/21/19
8178,2.70,TETVOL,,52.00,5.35,,,,127,W,7/21/19
8179,1.80,TETVOL,,64.00,4.05,,,,127,W,7/21/19
8180,3.40,CECPEL,,38.00,6.41,,,,127,W,7/21/19
8181,10.50,THODEC,,58.00,5.51,,,,127,W,7/21/19
8182,2.60,CYDHET,,52.00,6.25,Striped liana,,,127,W,7/21/19
8183,1.20,TETVOL,,50.00,5.73,,,,127,W,7/21/19
8184,2.60,SOLHAZ,,42.00,8.63,,,,127,W,7/21/19
8185,7.60,MANCHI,,38.00,10.06,,,,127,W,7/21/19
8186,5.50,,8185,,,,,,127,W,7/21/19
8187,1.80,CYDHET,,36.00,10.75,Striped liana,,,127,W,7/21/19
8188,13.20,LONMIN,,40.00,10.04,,,,127,W,7/21/19
8189,3.20,CYDHET,,42.00,10.61,Striped liana,,,127,W,7/21/19
8190,1.50,AMPPAN,,36.00,11.00,Liana,,,127,W,7/21/19
8191,1.60,PAUCUR,,40.00,8.82,,,,127,W,7/21/19
8192,1.40,TETVOL,,44.00,9.73,,,,127,W,7/21/19
8193,3.40,,,64.00,8.28,"Voucher, simple alternate liana",,,127,W,7/21/19
8194,1.30,TETVOL,,72.00,7.12,,,,127,W,7/21/19
8195,2.40,TETVOL,,68.00,5.78,,,,127,W,7/21/19
8196,4.10,THODEC,,50.00,5.50,,,,127,W,7/21/19
8197,2.90,,,72.00,5.27,Striped liana,,,127,W,7/21/19
8198,6.00,THODEC,,150.00,9.67,"NW:142,12.53",,,127,N,7/21/19
8199,44.60,BURSIM,,152.00,9.82,,,,127,N,7/21/19
8200,29.50,CALCAN,,194.00,8.96,,,,127,N,7/21/19
8201,1.60,,8200,,,,,,127,N,7/21/19
8202,10.30,,8200,,,,,,127,N,7/21/19
8203,3.30,THODEC,,196.00,10.66,,,,127,N,7/21/19
8204,4.80,THODEC,,198.00,10.54,,,,127,N,7/21/19
8205,10.70,CHOSPI,,216.00,12.11,,,,127,N,7/21/19
8206,1.20,CAPIND,,220.00,10.06,,,,127,N,7/21/19
8207,1.20,,8206,,,,,,127,N,7/21/19
8208,14.60,EXOMEX,,222.00,9.95,,0,,127,N,7/21/19
8209,9.00,EXOMEX,,214.00,9.75,,,,127,N,7/21/19
8210,4.80,XYLSEE,,214.00,9.26,,,,127,N,7/21/19
8211,15.90,EXOMEX,,214.00,7.55,,,,127,N,7/21/19
8212,5.40,THODEC,,218.00,6.53,,,,127,N,7/21/19
8213,1.80,CAPIND,,208.00,7.35,,,,127,N,7/21/19
8214,1.70,,8213,,,,,,127,N,7/21/19
8215,14.10,THODEC,,222.00,5.50,,,,127,N,7/21/19
8216,6.20,,8215,,,,,,127,N,7/21/19
8217,2.00,,8215,,,,,,127,N,7/21/19
8218,15.10,CALCAN,,206.00,5.34,,,,127,N,7/21/19
8219,2.20,LONMIN,,204.00,4.45,,,,127,N,7/21/19
8220,6.50,ARDREV,,196.00,2.28,,,,127,N,7/21/19
8221,5.70,XYLSEE,,170.00,1.99,,,,127,N,7/21/19
8222,10.90,LONMIN,,154.00,6.04,,,,127,N,7/21/19
8223,58.10,SPOMOM,,162.00,6.22,"Tall tree, maybe spondias mombin",,,127,N,7/21/19
8224,4.40,THODEC,,158.00,2.72,,,,127,N,7/21/19
8225,11.10,THODEC,,162.00,7.48,,,,127,N,7/21/19
8226,7.60,THODEC,,226.00,11.86,"NE:224,13.77",,,127,E,7/21/19
8227,1.10,,8226,,,,,,127,E,7/21/19
8228,1.00,,8226,,,,,,127,E,7/21/19
8229,2.30,DIONIC,,240.00,9.65,,,,127,E,7/21/19
8230,25.00,BURSIM,,240.00,9.47,,,,127,E,7/21/19
8231,16.90,ALBADI,,244.00,8.55,,,,127,E,7/21/19
8232,1.00,LONACU,,250.00,8.04,,,,127,E,7/21/19
8233,2.40,ASTGRA,,254.00,7.76,,,,127,E,7/21/19
8234,30.90,LUESPE,,270.00,6.46,Tall tree,0,,127,E,7/21/19
8235,3.00,RANTHU,,272.00,6.57,,,,127,E,7/21/19
8236,3.80,THODEC,,282.00,5.61,,,,127,E,7/21/19
8237,3.40,MACBIO,,282.00,5.61,,,,127,E,7/21/19
8238,3.40,CYDHET,,284.00,6.92,,,,127,E,7/21/19
8239,2.40,LONMIN,,288.00,6.59,,,,127,E,7/21/19
8240,1.60,,8239,,,,,,127,E,7/21/19
8241,20.80,CALCAN,,288.00,7.53,,,,127,E,7/21/19
8242,3.40,THODEC,,296.00,6.79,,,,127,E,7/21/19
8243,1.50,,8242,,,,,,127,E,7/21/19
8244,5.60,CAPIND,,302.00,8.03,,,,127,E,7/21/19
8245,4.60,,8244,,,,,,127,E,7/21/19
8246,4.00,,8244,,,,,,127,E,7/21/19
8247,6.10,THODEC,,304.00,8.52,,,,127,E,7/21/19
8248,1.30,FORSPI,,304.00,8.38,Dotted liana,,,127,E,7/21/19
8249,1.70,FORSPI,,306.00,8.68,Dotted liana,,,127,E,7/21/19
8250,6.20,LONMIN,,318.00,10.67,,,,127,E,7/21/19
8251,1.50,CYDHET,,312.00,11.98,Striped liana,,,127,E,7/21/19
8252,1.70,ASTGRA,,318.00,10.19,,,,127,E,7/21/19
8253,2.90,THODEC,,296.00,3.87,,,,127,E,7/21/19
8254,7.10,FORSPI,,296.00,3.87,Dotted liana,,,127,E,7/21/19
8255,3.10,THODEC,,292.00,3.96,,,,127,E,7/21/19
8256,1.70,RANMON,,256.00,0.92,,,,127,E,7/21/19
8257,4.40,THODEC,,246.00,2.86,,,,127,E,7/21/19
8258,4.20,LONMIN,,258.00,3.16,,,,127,E,7/21/19
8259,2.20,THODEC,,258.00,3.79,,,,127,E,7/21/19
8260,1.00,CAPIND,,230.00,4.55,,,,127,E,7/21/19
8261,4.50,THODEC,,232.00,5.18,,,,127,E,7/21/19
8262,1.50,ALBEDU,,234.00,5.30,,,,127,E,7/21/19
8263,2.40,THODEC,,248.00,5.97,,,,127,E,7/21/19
8264,1.50,,8263,,,,,,127,E,7/21/19
8265,2.90,ALBEDU,,234.00,5.35,,,,127,E,7/21/19
8266,11.80,CHOSPI,,328.00,11.61,"SE:316, 13.65",,,127,S,7/21/19
8267,9.20,,8266,,,,,,127,S,7/21/19
8268,3.30,CYDHET,,332.00,12.03,Striped liana,,,127,S,7/21/19
8269,1.20,CYDHET,,336.00,11.61,Striped liana,,,127,S,7/21/19
8270,1.30,CYDHET,,342.00,12.55,Striped liana,,,127,S,7/21/19
8271,6.70,PISACU,,0.00,11.05,,,,127,S,7/21/19
8272,1.90,FORSPI,,0.00,11.10,Dotted liana,,,127,S,7/21/19
8273,2.00,CYDHET,,350.00,11.75,Dotted liana,,,127,S,7/21/19
8274,1.20,CYDHET,,2.00,12.24,Striped liana,,,127,S,7/21/19
8275,5.70,XYLSEE,,8.00,13.08,,,,127,S,7/21/19
8276,1.30,ASTGRA,,18.00,12.78,,,,127,S,7/21/19
8277,3.70,SERSCH,,12.00,12.90,"Pyramid liana, serjana, voucher",,,127,S,7/21/19
8278,15.60,ASTGRA,,34.00,13.22,Pole pruners,,,127,S,7/21/19
8279,2.20,SERSCH,,42.00,14.50,Pyramid liana,,,127,S,7/21/19
8280,2.10,SERSCH,,42.00,15.00,Pyramid liana,,,127,S,7/21/19
8281,1.80,CYDHET,,32.00,15.00,Striped liana,,,127,S,7/21/19
8282,1.20,PAUCUR,,34.00,12.48,,,,127,S,7/21/19
8283,2.30,MACTIN,,28.00,11.22,,,,127,S,7/21/19
8284,3.20,THODEC,,18.00,10.34,,,,127,S,7/21/19
8285,2.50,,8284,,,,,,127,S,7/21/19
8286,1.90,,8284,,,,,,127,S,7/21/19
8287,2.40,CYDHET,,16.00,8.98,Striped liana,,,127,S,7/21/19
8288,3.40,XYLSEE,,34.00,9.49,,,,127,S,7/21/19
8289,1.70,SEMMEX,,26.00,5.29,,,,127,S,7/21/19
8290,1.70,CYDHET,,30.00,4.35,Striped liana,,,127,S,7/21/19
